Ocena dokonèanih stanovanj - izbrani kazalniki, po statistiènih regijah;;;;;;;;;;;;;;;;
Slovenije, letno po: STATISTIÈNA REGIJA, KAZALNIK , LETO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 ;Število dokonèanih stanovanj na 1000 prebivalcev; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
SLOVENIJA;3.jun;3.mar;3.maj;3.avg;3.avg;4.jan;4.sep;4.feb;3.jan;2.jul;2.jan;1.jul;1.maj;1.mar;1.apr;1.maj
;;;;;;;;;;;;;;;;
Podatki do vkljuèno leta 2007 so objavljeni po Enotni klasifikaciji ;;;;;;;;;;;;;;;;
vrst  ;;;;;;;;;;;;;;;;
objektov [Ur.l.RS, št.33/2003], od leta 2008 naprej pa po ;;;;;;;;;;;;;;;;
Klasifikaciji  ;;;;;;;;;;;;;;;;
vrst objektov [Ur.l.RS, št.109/2011]. ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;
e=10040 target=_blank) Metodološka pojasnila ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;;;;;;
teritorialnih enot v Evropski uniji [The Classification  of ;;;;;;;;;;;;;;;;
Territorial Units for Statistics] – NUTS [(seznam ;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila], raven NUTS ;;;;;;;;;;;;;;;;
3.Opombe o spremembah posameznih regij so zapisane k vsaki ;;;;;;;;;;;;;;;;
spremenjeni regiji in so ob izpisu tabele na zaslon dostopne s klikom ;;;;;;;;;;;;;;;;
na poveazvo Opombe. V opombah je na zaèetku naveden datum, s katerim ;;;;;;;;;;;;;;;;
je opisana teritorialna sprememba upoštevana pri teritorialnem ;;;;;;;;;;;;;;;;
razvršèanju enot za statistiène namene.;;;;;;;;;;;;;;;;
