Ocena dokonèanih stanovanj po: STATISTIÈNA REGIJA, INVESTITOR, MERITVE,;;;;;
DOKONÈANA STANOVANJA , LETO;;;;;
;;;;;
SLOVENIJA;;;;;
 ;Investitor - SKUPAJ;;;;
 ; ;Število;;;
 ; ; ;Dokonèana stanovanja - SKUPAJ;;
 ; ; ; ;2008;9968
 ; ; ; ;2009;8530
 ; ; ; ;2010;6355
 ; ; ; ;2011;5498
 ; ; ; ;2012;4307
 ; ; ; ;2013;3484
 ; ; ; ;2014;3163
 ; ; ; ;2015;2776
 ; ; ; ;2016;2975
 ; ; ; ;2017;3044
;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;
;;;;;
Povezane vsebine: ;;;;;
- (seznam ;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;
e=10040 target=_blank) Metodološka pojasnila ;;;;;
;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;
teritorialnih enot v Evropski uniji [The Classification  of ;;;;;
Territorial Units for Statistics] – NUTS [(seznam ;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila], raven NUTS ;;;;;
3.Opombe o spremembah posameznih regij so zapisane k vsaki ;;;;;
spremenjeni regiji in so ob izpisu tabele na zaslon dostopne s klikom ;;;;;
na poveazvo Opombe. V opombah je na zaèetku naveden datum, s katerim ;;;;;
je opisana teritorialna sprememba upoštevana pri teritorialnem ;;;;;
razvršèanju enot za statistiène namene.;;;;;
