"Dovoljenja za gradnjo stavb: število stavb, njihova gradbena velikost"
"in stanovanja v njih po: INVESTITOR, STATISTIÈNA REGIJA, TIP STAVBE,"
"LETO , MERITVE"

"Investitor";"Regija";"Tip objekta";"Leto";"Število stavb";"Površina stavb      [m2]"
"Investitor - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";5858;3410786
" ";" ";" ";"2008";5373;2656335
" ";" ";" ";"2009";4570;2089907
" ";" ";" ";"2010";3902;1975066
" ";" ";" ";"2011";3621;1611219
" ";" ";" ";"2012";3205;1251166
" ";" ";" ";"2013";3443;1300463
" ";" ";" ";"2014";3166;1007637
" ";" ";" ";"2015";5054;1174829
" ";" ";" ";"2016";6809;1599641
" ";" ";" ";"2017";6704;1702054
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";4537;1991922
" ";" ";" ";"2008";4185;1593478
" ";" ";" ";"2009";3534;1189559
" ";" ";" ";"2010";2870;1105243
" ";" ";" ";"2011";2629;772110
" ";" ";" ";"2012";2375;671523
" ";" ";" ";"2013";2549;708177
" ";" ";" ";"2014";2359;601839
" ";" ";" ";"2015";2441;616917
" ";" ";" ";"2016";2617;661373
" ";" ";" ";"2017";2713;699311
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";1321;1418864
" ";" ";" ";"2008";1188;1062857
" ";" ";" ";"2009";1036;900348
" ";" ";" ";"2010";1032;869823
" ";" ";" ";"2011";992;839109
" ";" ";" ";"2012";830;579643
" ";" ";" ";"2013";894;592286
" ";" ";" ";"2014";807;405798
" ";" ";" ";"2015";2613;557912
" ";" ";" ";"2016";4192;938268
" ";" ";" ";"2017";3991;1002743
" ";"Pomurska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";390;149269
" ";" ";" ";"2008";381;117612
" ";" ";" ";"2009";363;142369
" ";" ";" ";"2010";349;108583
" ";" ";" ";"2011";269;70741
