Delovno aktivno prebivalstvo po: OBÈINE, SPOL, LETO , DOSEŽENA IZOBRAZBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Spol - SKUPAJ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;2005; ; ;2006; ; ;2007; ; ;2008; ; ;2009; ; ;2010; ; ;2011; ; ;2012; ; ;2013; ; ;2014; ; ;2015; ; ;2016; ; ;2017; ; 
 ;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska;Osnovnošolska ali manj;Srednješolska;Višješolska, visokošolska
SLOVENIJA;166006;467661;170744;166684;478116;179520;171544;494925;189643;172650;500106;199794;138018;493350;207865;123631;477356;213789;116657;472775;227879;102442;457370;233136;96433;453333;241557;91227;457521;251210;84726;457765;261153;80554;468525;275406;80989;480812;294400
Ajdovšèina;1658;4190;1413;1633;4284;1499;1696;4494;1590;1745;4691;1697;1374;4683;1786;1204;4511;1852;1032;4318;1981;892;4081;2043;878;4184;2086;859;4282;2215;815;4270;2299;811;4433;2432;842;4593;2626
Ankaran/Ancarano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158;665;516;158;679;547;124;691;582
Apaèe;-;-;-;-;-;-;314;830;127;314;823;142;272;814;149;247;799;155;250;772;167;218;748;179;203;717;185;193;669;192;179;689;206;171;677;224;162;646;235
Beltinci;907;1992;412;905;2046;446;871;2102;470;872;2165;498;637;1977;533;614;2002;566;584;2076;594;485;1956;622;455;1951;656;345;1930;670;354;1911;700;300;1931;736;299;1922;773
Benedikt;218;481;59;225;525;69;236;548;79;237;585;98;200;614;107;187;610;123;224;616;150;214;607;159;188;601;178;166;608;184;156;614;201;135;586;210;137;641;226
Bistrica ob Sotli;161;285;60;158;285;63;157;306;72;159;307;88;134;308;87;115;301;98;126;324;117;109;309;121;105;318;121;99;322;123;68;297;130;63;309;146;65;318;155
Bled;569;2648;1081;539;2694;1141;378;1974;961;342;1959;977;239;1898;1052;217;1844;1074;221;1820;1123;192;1710;1120;187;1674;1199;169;1641;1210;168;1669;1242;153;1687;1332;146;1696;1380
