"Delovno aktivno prebivalstvo po: OBÈINE, LETO, SPOL , DOSEŽENA IZOBRAZBA"

"Obèine";"Leto";"Spol";"Izobrazba - SKUPAJ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Neznano"
"SLOVENIJA"
" ";"2005"
" ";" ";"Spol - SKUPAJ";813529;166006;467661;170744;9118
" ";" ";"Moški";454704;100017;274130;74223;6334
" ";" ";"Ženske";358825;65989;193532;96521;2784
" ";"2006"
" ";" ";"Spol - SKUPAJ";833003;166684;478116;179520;8683
" ";" ";"Moški";468256;102143;282466;77536;6111
" ";" ";"Ženske";364746;64541;195650;101984;2572
" ";"2007"
" ";" ";"Spol - SKUPAJ";864351;171544;494925;189643;8239
" ";" ";"Moški";489779;108336;294384;81172;5887
" ";" ";"Ženske";374572;63208;200541;108471;2352
" ";"2008"
" ";" ";"Spol - SKUPAJ";880205;172650;500106;199794;7655
" ";" ";"Moški";498978;111112;297976;84631;5259
" ";" ";"Ženske";381227;61538;202130;115163;2396
" ";"2009"
" ";" ";"Spol - SKUPAJ";844655;138018;493350;207865;5422
" ";" ";"Moški";475402;87980;296115;87489;3817
" ";" ";"Ženske";369253;50037;197235;120377;1604
" ";"2010"
" ";" ";"Spol - SKUPAJ";818975;123631;477356;213789;4199
" ";" ";"Moški";456823;78247;286444;89042;3090
" ";" ";"Ženske";362152;45384;190912;124747;1109
" ";"2011"
" ";" ";"Spol - SKUPAJ";817311;116657;472775;227879;-
" ";" ";"Moški";452062;72388;285042;94632;-
" ";" ";"Ženske";365249;44269;187733;133247;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";792948;102442;457370;233136;-
" ";" ";"Moški";435493;62576;276528;96389;-
" ";" ";"Ženske";357455;39866;180842;136747;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";791323;96433;453333;241557;-
" ";" ";"Moški";433657;58048;275765;99844;-
" ";" ";"Ženske";357666;38385;177568;141713;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";799958;91227;457521;251210;-
" ";" ";"Moški";441226;55367;281689;104170;-
" ";" ";"Ženske";358732;35860;175832;147040;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";803644;84726;457765;261153;-
" ";" ";"Moški";440107;50491;281659;107957;-
" ";" ";"Ženske";363537;34235;176106;153196;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";824485;80554;468525;275406;-
" ";" ";"Moški";450071;47810;288904;113357;-
" ";" ";"Ženske";374414;32744;179621;162049;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";856201;80989;480812;294400;-
" ";" ";"Moški";467805;48345;298392;121068;-
" ";" ";"Ženske";388396;32644;182420;173332;-
"Ajdovšèina"
" ";"2005"
" ";" ";"Spol - SKUPAJ";7351;1658;4190;1413;90
" ";" ";"Moški";4298;1063;2614;573;48
" ";" ";"Ženske";3052;595;1575;840;42
" ";"2006"
" ";" ";"Spol - SKUPAJ";7500;1633;4284;1499;84
" ";" ";"Moški";4397;1051;2696;605;45
" ";" ";"Ženske";3103;582;1588;894;39
" ";"2007"
" ";" ";"Spol - SKUPAJ";7857;1696;4494;1590;77
" ";" ";"Moški";4639;1124;2846;626;43
" ";" ";"Ženske";3218;571;1649;964;33
" ";"2008"
" ";" ";"Spol - SKUPAJ";8203;1745;4691;1697;70
" ";" ";"Moški";4872;1189;2994;653;36
" ";" ";"Ženske";3331;556;1698;1044;33
" ";"2009"
" ";" ";"Spol - SKUPAJ";7880;1374;4683;1786;37
" ";" ";"Moški";4604;904;2984;693;23
" ";" ";"Ženske";3276;470;1699;1093;14
" ";"2010"
" ";" ";"Spol - SKUPAJ";7593;1204;4511;1852;26
" ";" ";"Moški";4392;802;2858;716;16
" ";" ";"Ženske";3201;402;1653;1136;10
" ";"2011"
" ";" ";"Spol - SKUPAJ";7331;1032;4318;1981;-
" ";" ";"Moški";4162;673;2707;782;-
" ";" ";"Ženske";3169;359;1611;1199;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";7016;892;4081;2043;-
" ";" ";"Moški";3871;543;2515;813;-
" ";" ";"Ženske";3145;349;1566;1230;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";7148;878;4184;2086;-
" ";" ";"Moški";4003;529;2634;840;-
" ";" ";"Ženske";3145;349;1550;1246;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";7356;859;4282;2215;-
" ";" ";"Moški";4178;529;2758;891;-
" ";" ";"Ženske";3178;330;1524;1324;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";7384;815;4270;2299;-
" ";" ";"Moški";4159;490;2754;915;-
" ";" ";"Ženske";3225;325;1516;1384;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";7676;811;4433;2432;-
" ";" ";"Moški";4306;480;2874;952;-
" ";" ";"Ženske";3370;331;1559;1480;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";8061;842;4593;2626;-
" ";" ";"Moški";4588;503;3035;1050;-
" ";" ";"Ženske";3473;339;1558;1576;-
"Ankaran/Ancarano"
" ";"2005"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2010"
