Obsojeni polnoletni in mladoletni po: OBÈINE, KAZALNIK , LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Obsojeni polnoletni in mladoletni na 1000 prebivalcev; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
SLOVENIJA;4.mar;4.maj;4.jun;4.jan;4.jan;3.sep;4.mar;5.jul;4.jul;4.0;3.apr
Ajdovšèina;2.sep;2.mar;1.jun;1.apr;1.avg;1.apr;2.sep;1.avg;1.sep;1.jun;1.avg
Ankaran/Ancarano;-;-;-;-;-;-;-;-;z;z;1.feb
Apaèe;0.0;3.mar;5.feb;6.apr;5.avg;5.feb;5.0;5.mar;5.0;5.jun;4.feb
Beltinci;5.jan;3.avg;4.feb;3.0;3.0;3.maj;6.0;5.avg;5.sep;5.feb;3.jan
Benedikt;3.jun;2.feb;5.maj;6.apr;5.apr;5.mar;4.jan;7.jul;2.apr;2.avg;3.feb
Bistrica ob Sotli;2.avg;z;2.jan;2.avg;z;z;z;0.0;4.mar;4.apr;z
Bled;3.maj;3.avg;3.sep;3.feb;2.jun;2.sep;2.apr;4.0;2.jan;2.jul;1.avg
Bloke;z;1.avg;0.0;z;2.maj;z;z;z;3.feb;z;3.sep
Bohinj;1.maj;2.maj;3.maj;3.jun;1.mar;1.mar;1.0;1.0;2.jan;2.jan;0.6
Borovnica;3.mar;3.mar;1.maj;2.mar;1.mar;1.0;1.0;3.feb;1.sep;4.feb;2.jun
Bovec;1.feb;1.maj;2.maj;z;1.avg;1.jun;2.feb;2.maj;1.0;2.sep;1.mar
Braslovèe;1.0;0.6;1.feb;1.maj;1.mar;1.jul;1.avg;2.apr;2.sep;2.feb;1.avg
Brda;1.jul;3.mar;1.feb;1.apr;1.apr;1.jun;0.9;2.mar;1.jun;1.sep;1.avg
Brezovica;0.5;1.maj;1.jan;1.avg;1.mar;1.jun;2.mar;3.jan;2.mar;2.avg;0.9
Brežice;3.jul;5.avg;5.0;3.feb;3.0;2.maj;4.apr;4.feb;3.avg;3.feb;2.apr
Cankova;z;2.0;2.jan;z;4.jul;2.jun;0.0;2.jul;3.avg;1.jun;5.0
Celje;5.0;5.sep;5.0;4.sep;6.jan;4.mar;4.jun;7.mar;6.sep;4.jul;4.0
Cerklje na Gorenjskem;1.feb;1.feb;1.feb;1.feb;1.apr;0.8;1.jul;1.maj;2.0;1.jun;1.jul
Cerknica;2.jul;3.jan;2.0;2.jun;1.mar;1.sep;2.jan;3.jul;1.jul;2.jul;1.feb
Cerkno;z;0.6;1.0;0.8;1.mar;1.mar;0.8;0.8;1.jul;0.9;1.jan
Cerkvenjak;1.sep;3.avg;2.sep;3.apr;2.sep;6.maj;6.apr;6.0;3.sep;3.sep;2.sep
Cirkulane;0.0;4.mar;4.0;3.sep;3.sep;3.jan;2.feb;2.jun;3.0;z;2.feb
Èrenšovci;6.feb;6.jul;8.jan;6.feb;6.0;7.maj;4.jan;7.maj;7.apr;7.mar;4.mar
Èrna na Koroškem;4.feb;3.jan;2.feb;1.jun;5.0;3.jul;3.apr;6.jan;3.avg;1.maj;1.avg
Èrnomelj;6.avg;7.sep;6.maj;7.jun;6.apr;6.jun;6.mar;10.avg;9.apr;7.mar;5.mar
Destrnik;3.avg;6.apr;4.sep;5.jun;3.0;3.0;6.feb;4.jun;3.sep;z;3.maj
Divaèa;2.jun;1.maj;4.feb;2.mar;2.jun;0.8;3.mar;3.maj;5.jan;3.jun;3.mar
Dobje;0.0;0.0;0.0;0.0;z;z;z;3.jan;z;4.jan;0.0
Dobrepolje;z;1.sep;2.apr;3.jan;2.mar;z;z;3.mar;1.avg;2.0;3.jan
Dobrna;z;1.sep;z;2.avg;4.maj;2.jul;1.avg;3.feb;2.mar;2.mar;3.jan
Dobrova - Polhov Gradec;z;z;z;0.8;0.4;z;1.jan;0.7;0.7;1.mar;1.jun
Dobrovnik/Dobronak;3.jun;4.mar;5.jan;2.feb;7.jun;2.feb;2.feb;4.jul;4.jul;z;z
Dol pri Ljubljani;1.0;2.0;0.8;1.jan;2.jun;0.9;0.9;2.jan;2.feb;3.apr;1.jul
Dolenjske Toplice;2.0;2.jun;3.maj;3.avg;4.apr;2.apr;3.avg;3.avg;2.jun;3.0;3.feb
Domžale;3.maj;3.jun;5.maj;2.avg;2.avg;3.feb;3.feb;4.apr;3.jan;2.avg;3.mar
Dornava;2.feb;3.0;4.avg;3.jul;3.apr;3.jul;1.apr;5.avg;1.0;2.apr;4.jan
Dravograd;4.avg;3.apr;3.sep;5.apr;4.jul;3.feb;3.avg;4.avg;3.avg;2.jun;2.jan
Duplek;2.jul;3.jun;5.maj;4.jun;4.jul;4.mar;4.feb;6.avg;4.0;4.sep;3.avg
Gorenja vas - Poljane;1.jun;1.mar;0.8;0.8;z;0.7;z;1.0;1.sep;1.jul;0.9
Gorišnica;2.jul;4.avg;4.jun;4.mar;4.0;2.jul;3.feb;5.jul;3.0;3.mar;1.0
Gorje;0.0;0.0;2.jan;1.apr;1.apr;1.jul;1.apr;1.jul;3.feb;2.jan;1.avg
Gornja Radgona;4.sep;6.maj;6.maj;7.jan;6.maj;6.jan;5.maj;4.avg;4.0;4.jun;4.jun
Gornji Grad;0.0;z;z;1.sep;z;0.0;1.sep;1.sep;1.sep;1.feb;2.0
Gornji Petrovci;2.feb;4.apr;4.0;1.apr;6.sep;2.avg;5.jan;3.mar;4.mar;5.mar;1.maj
Grad;4.mar;3.0;2.jun;1.mar;2.feb;1.avg;2.mar;3.feb;0.0;1.apr;2.mar
Grosuplje;2.sep;3.sep;5.0;3.jan;2.avg;5.mar;5.jan;6.feb;6.jul;4.mar;3.apr
Hajdina;1.jun;2.sep;7.0;3.maj;4.jun;4.mar;5.mar;7.feb;4.0;4.0;5.jul
Hoèe - Slivnica;1.mar;1.avg;3.jan;3.jul;3.maj;2.jan;2.maj;3.maj;3.0;4.maj;4.maj
Hodoš/Hodos;11.sep;z;21.maj;0.0;12.avg;0.0;z;0.0;0.0;z;13.apr
Horjul;z;z;1.jan;1.0;1.0;z;z;2.jan;2.0;2.0;z
Hrastnik;2.0;4.mar;5.sep;4.feb;5.jun;2.sep;3.mar;4.avg;4.jan;2.maj;2.apr
Hrpelje - Kozina;2.maj;1.feb;3.feb;4.jan;1.jul;3.mar;2.avg;3.maj;3.mar;4.jan;3.feb
Idrija;1.mar;1.avg;1.sep;0.8;1.avg;1.jul;1.avg;2.mar;1.avg;1.maj;1.mar
Ig;2.sep;3.mar;4.jul;2.apr;3.apr;2.jun;2.apr;5.jan;2.jul;3.apr;1.avg
Ilirska Bistrica;2.jan;3.0;3.feb;3.feb;2.jan;3.jul;2.jan;2.avg;2.jul;1.maj;2.0
Ivanèna Gorica;2.maj;1.feb;2.0;1.jan;1.feb;1.mar;0.9;2.jul;1.jun;2.mar;2.feb
Izola/Isola;5.sep;5.mar;4.avg;4.jul;4.jul;3.jun;4.maj;6.avg;5.avg;3.mar;2.avg
Jesenice;6.jul;6.jul;7.0;4.jun;4.apr;4.apr;4.avg;4.maj;5.0;2.avg;3.jun
Jezersko;z;z;z;z;0.0;z;z;6.mar;0.0;0.0;0.0
Juršinci;2.jan;3.apr;4.jun;3.sep;4.mar;4.jul;2.jan;3.apr;2.maj;3.0;4.feb
Kamnik;4.maj;4.avg;3.jun;2.maj;2.avg;3.jun;2.sep;4.avg;3.jan;3.mar;2.avg
Kanal;1.avg;1.avg;1.maj;2.jan;2.jan;1.apr;1.apr;2.maj;2.mar;2.jun;2.avg
Kidrièevo;2.apr;3.jun;3.avg;2.jan;4.0;3.maj;4.jan;5.mar;3.feb;3.jan;4.0
Kobarid;1.jun;0.9;1.feb;1.feb;1.jul;z;0.7;0.7;2.feb;1.apr;1.feb
Kobilje;z;z;4.sep;z;0.0;0.0;z;8.jun;5.jan;10.mar;z
Koèevje;5.avg;4.avg;9.jan;9.avg;10.avg;9.0;9.apr;12.0;11.jan;8.mar;9.feb
Komen;2.maj;0.8;2.0;z;0.8;0.8;2.avg;1.jul;2.0;2.0;1.jan
Komenda;0.8;1.sep;1.0;2.jul;0.6;1.avg;1.0;3.jan;2.maj;1.avg;1.maj
Koper/Capodistria;5.maj;4.sep;4.jul;4.feb;4.jan;3.maj;5.feb;6.apr;5.0;4.mar;3.jun
Kostanjevica na Krki;0.0;1.feb;0.0;1.jul;1.jul;z;4.jan;3.jul;2.jan;2.0;2.jan
Kostel;z;0.0;z;z;z;z;6.feb;4.jun;z;z;0.0
Kozje;2.jan;1.avg;3.jan;2.maj;0.9;z;2.avg;1.jun;1.sep;2.mar;2.mar
Kranj;4.maj;3.sep;2.avg;2.mar;2.maj;2.apr;3.jun;3.avg;3.avg;2.jun;2.0
Kranjska Gora;5.0;2.0;2.avg;2.mar;1.jul;2.jan;2.feb;1.jul;2.apr;4.jan;1.mar
Križevci;3.apr;1.jan;1.jun;0.8;1.mar;2.sep;1.mar;2.jan;2.jan;4.jun;2.feb
Krško;6.jun;7.jul;7.apr;4.jun;5.jan;3.avg;5.maj;5.mar;5.jul;4.avg;3.jun
Kungota;2.apr;2.maj;4.maj;4.0;2.maj;2.sep;3.jan;4.feb;2.maj;4.0;4.0
Kuzma;3.jul;3.jan;6.mar;2.maj;1.sep;5.0;2.maj;5.jul;3.jul;z;1.sep
Laško;3.apr;2.avg;3.mar;3.feb;4.maj;2.maj;4.feb;4.maj;3.apr;3.0;2.jan
Lenart;5.maj;7.maj;7.avg;6.jul;5.apr;4.mar;6.jun;7.maj;6.mar;3.mar;3.maj
Lendava/Lendva;6.maj;5.jun;6.jun;5.jun;7.apr;6.mar;6.maj;8.feb;6.jan;5.apr;3.avg
Litija;4.mar;5.jan;4.jan;3.jan;4.apr;2.mar;2.jul;4.jul;4.jul;2.jun;2.jun
Ljubljana;4.maj;4.mar;4.0;3.maj;3.apr;3.maj;3.maj;6.feb;4.jun;3.avg;3.feb
Ljubno;0.0;z;1.jan;z;1.maj;1.maj;2.jun;2.mar;3.apr;2.mar;2.jul
Ljutomer;6.maj;7.jan;8.maj;6.jul;6.sep;5.sep;7.maj;6.jul;5.0;2.sep;3.apr
Log - Dragomer;0.0;z;1.jan;z;z;z;z;2.jul;1.jan;1.sep;1.sep
Logatec;2.apr;2.jun;2.maj;1.apr;2.maj;2.mar;1.mar;3.jul;2.0;2.0;2.jan
Loška dolina;1.avg;1.0;z;1.avg;1.avg;0.8;0.8;1.avg;2.mar;1.mar;0.0
Loški Potok;2.0;z;z;3.maj;2.0;0.0;z;3.jan;2.jan;3.feb;4.mar
Lovrenc na Pohorju;z;1.jun;3.feb;3.maj;3.sep;3.feb;z;1.mar;2.sep;1.jun;2.mar
Luèe;0.0;0.0;0.0;0.0;z;0.0;0.0;0.0;0.0;z;z
Lukovica;1.jun;2.avg;4.feb;1.jul;1.maj;0.7;2.apr;3.jun;0.5;3.feb;2.mar
Majšperk;2.apr;1.jul;2.maj;4.apr;3.sep;2.jul;3.0;4.0;2.avg;2.0;3.avg
Makole;0.0;1.sep;3.apr;4.mar;2.sep;1.sep;1.sep;4.0;1.maj;3.maj;3.apr
Maribor;7.mar;7.0;7.feb;8.jan;7.jan;7.0;7.sep;8.jul;7.maj;5.avg;5.0
Markovci;3.0;2.maj;6.0;2.avg;1.avg;3.0;2.0;3.feb;1.maj;5.maj;2.jul
Medvode;1.jun;2.jan;2.maj;1.maj;1.sep;1.sep;2.feb;3.sep;2.apr;2.avg;2.apr
Mengeš;2.sep;2.jul;3.feb;1.jun;2.avg;2.0;1.apr;3.0;2.maj;2.feb;1.sep
Metlika;4.jan;3.avg;3.sep;3.sep;2.avg;3.avg;3.sep;9.maj;3.avg;5.jan;6.maj
Mežica;4.apr;4.apr;4.avg;3.0;1.jun;2.feb;5.avg;3.jun;1.jul;2.feb;3.sep
Miklavž na Dravskem polju;2.jan;3.feb;3.feb;6.jul;4.mar;5.jul;7.mar;8.sep;4.mar;3.jul;2.mar
Miren - Kostanjevica;3.jan;2.sep;2.jul;1.feb;1.sep;2.mar;1.maj;1.sep;1.sep;2.jan;1.jul
Mirna;0.0;0.0;0.0;0.0;0.0;0.0;1.sep;z;2.jul;3.feb;z
Mirna Peè;z;2.jan;1.avg;1.jan;1.jan;1.avg;1.avg;2.avg;5.sep;2.jan;3.jan
Mislinja;4.jun;3.0;4.feb;3.apr;4.jan;2.jun;4.mar;5.0;3.feb;2.apr;1.maj
Mokronog - Trebelno;0.0;z;0.0;z;z;1.0;5.jul;1.mar;1.mar;2.jun;2.mar
Moravèe;1.maj;2.mar;2.maj;2.jul;0.8;1.feb;z;2.jan;1.mar;1.maj;1.jan
Moravske Toplice;3.feb;3.feb;3.maj;4.mar;3.maj;3.sep;3.maj;3.jul;3.avg;4.apr;2.jun
Mozirje;5.avg;5.apr;7.apr;3.sep;5.sep;4.feb;5.jun;5.jan;6.jan;2.feb;2.feb
Murska Sobota;11.feb;14.jun;10.jan;7.maj;5.avg;6.apr;7.mar;8.sep;7.0;5.feb;6.0
Muta;3.mar;2.feb;5.jun;3.jan;4.avg;2.avg;3.apr;1.jul;3.feb;3.mar;2.jul
Naklo;1.feb;0.8;1.jun;1.sep;1.jan;1.mar;2.avg;3.feb;2.jan;1.maj;1.sep
Nazarje;1.maj;2.jun;0.0;3.maj;2.mar;1.maj;1.jan;1.feb;3.jan;2.jul;2.jul
Nova Gorica;3.mar;3.jun;2.maj;2.jun;3.0;3.0;2.sep;3.mar;3.jan;2.mar;2.apr
Novo mesto;5.avg;8.0;6.feb;5.sep;5.sep;4.jul;6.maj;10.apr;9.sep;7.mar;5.jun
Odranci;1.avg;3.maj;3.jun;2.apr;6.maj;1.avg;4.feb;3.jan;2.apr;3.0;1.avg
Oplotnica;3.0;1.avg;2.mar;1.mar;3.0;2.avg;1.jul;3.jul;2.feb;z;2.feb
Ormož;2.maj;4.0;3.sep;2.sep;3.sep;3.jun;4.feb;2.sep;1.jul;2.apr;2.avg
Osilnica;z;0.0;7.maj;z;7.apr;0.0;z;0.0;z;0.0;z
Pesnica;4.0;4.feb;5.feb;5.apr;3.feb;3.avg;3.mar;5.apr;6.feb;4.feb;3.apr
Piran/Pirano;8.jul;5.sep;4.apr;5.0;3.jul;4.jan;4.maj;5.mar;6.0;4.jun;3.avg
Pivka;3.0;1.maj;3.feb;1.feb;4.apr;3.sep;4.mar;4.avg;3.0;2.avg;1.mar
Podèetrtek;1.avg;z;1.avg;2.apr;1.maj;1.avg;1.avg;1.avg;1.avg;z;2.jan
Podlehnik;4.jan;4.jan;4.jul;4.feb;3.jul;2.jan;2.jun;3.feb;6.0;3.sep;2.avg
Podvelka;2.jun;5.feb;5.mar;4.feb;5.avg;5.jan;4.apr;4.jan;2.maj;2.sep;2.jan
Poljèane;0.0;2.maj;2.jul;2.jun;5.maj;2.0;3.mar;2.sep;3.apr;3.apr;1.apr
Polzela;2.maj;3.feb;3.jun;3.feb;3.apr;2.maj;2.0;4.mar;4.jun;3.jun;4.jan
Postojna;6.apr;4.avg;5.avg;3.avg;5.jan;3.sep;4.0;4.jul;5.0;5.mar;2.sep
Prebold;2.feb;1.jul;1.maj;2.mar;2.jul;1.apr;2.jun;2.avg;3.0;2.apr;2.0
Preddvor;2.feb;2.maj;2.mar;2.jun;1.apr;z;2.feb;4.feb;3.apr;3.jan;z
Prevalje;4.jul;2.apr;3.sep;3.feb;2.feb;4.jul;3.sep;4.apr;3.mar;3.0;3.jan
Ptuj;6.feb;7.feb;9.0;7.mar;6.mar;6.maj;5.jan;8.apr;7.jan;5.0;4.jan
