"Ocena dokonèanih stavb in stavb v gradnji ob koncu leta po:"
"KLASIFIKACIJA VRST OBJEKTOV [CC-SI], INVESTITOR, TIP GRADBENE"
"AKTIVNOSTI, LETO , MERITVE"

"Vrsta gradnje";"Investitor";"Tip gradnje";"Leto";"Število dokonèanih stavb";"Površina dokonèanih stavb [m2]";"Prostornina dokonèanih stavb [m3]";"Število stavb v gradnji";"Površina stavb v gradnji [m2]";"Prostornina stavb v gradnji [m3]"
"1 Stavbe - SKUPAJ"
" ";"Pravna oseba"
" ";" ";"Novogradnja"
" ";" ";" ";"2008";1149;1809046;7464047;1006;1294594;5395295
" ";" ";" ";"2009";1006;1294594;5395295;756;901054;3722872
" ";" ";" ";"2010";756;901054;3722872;485;963117;3865045
" ";" ";" ";"2011";485;963117;3865045;558;698245;3238241
" ";" ";" ";"2012";558;698245;3238241;385;408678;2029247
" ";" ";" ";"2013";385;408678;2029247;313;353521;1786114
" ";" ";" ";"2014";313;353521;1786114;325;224496;1308837
" ";" ";" ";"2015";339;225144;...;325;203042;...
" ";" ";" ";"2016";422;207999;...;546;411983;...
" ";" ";" ";"2017";719;420827;...;547;552615;...
" ";" ";"Poveèava"
" ";" ";" ";"2008";151;120298;593409;0;0;0
" ";" ";" ";"2009";114;129439;805215;0;0;0
" ";" ";" ";"2010";105;111776;567748;0;0;0
" ";" ";" ";"2011";125;106552;560799;0;0;0
" ";" ";" ";"2012";99;82862;446690;0;0;0
" ";" ";" ";"2013";91;122110;745757;0;0;0
" ";" ";" ";"2014";92;70380;380706;0;0;0
" ";" ";" ";"2015";137;97333;...;0;0;...
" ";" ";" ";"2016";197;147096;...;0;0;...
" ";" ";" ";"2017";157;139297;...;0;0;...
" ";" ";"Sprememba namembnosti"
" ";" ";" ";"2008";60;54998;219770;0;0;0
" ";" ";" ";"2009";40;29829;157751;0;0;0
" ";" ";" ";"2010";47;27852;112540;0;0;0
" ";" ";" ";"2011";25;23151;85357;0;0;0
" ";" ";" ";"2012";22;37111;219974;0;0;0
" ";" ";" ";"2013";21;23293;111821;0;0;0
" ";" ";" ";"2014";19;23156;95092;0;0;0
" ";" ";" ";"2015";17;13017;...;0;0;...
" ";" ";" ";"2016";40;51727;...;0;0;...
" ";" ";" ";"2017";44;32701;...;0;0;...
" ";"Fizièna oseba"
" ";" ";"Novogradnja"
" ";" ";" ";"2008";3516;1035108;3126095;10628;3066325;9497421
" ";" ";" ";"2009";3700;1108558;3400520;10001;2842956;8932015
" ";" ";" ";"2010";3717;1077031;3315061;8991;2511749;8016508
" ";" ";" ";"2011";3432;976400;3058941;8003;2208009;7234757
" ";" ";" ";"2012";3015;863086;2774748;7171;1941370;6479632
" ";" ";" ";"2013";2674;731237;2355941;7024;1887752;6408002
" ";" ";" ";"2014";2419;656518;2230750;6868;1819013;6113001
" ";" ";" ";"2015";3138;659798;...;7654;1888639;...
" ";" ";" ";"2016";5423;852745;...;8468;1932426;...
" ";" ";" ";"2017";5073;755515;...;11584;2199343;...
" ";" ";"Poveèava"
" ";" ";" ";"2008";481;101952;331068;0;0;0
" ";" ";" ";"2009";479;108329;368639;0;0;0
" ";" ";" ";"2010";463;97367;321602;0;0;0
" ";" ";" ";"2011";398;89838;306829;0;0;0
" ";" ";" ";"2012";405;91296;335243;0;0;0
" ";" ";" ";"2013";435;108714;366891;0;0;0
" ";" ";" ";"2014";449;95959;309890;0;0;0
" ";" ";" ";"2015";577;115507;...;0;0;...
" ";" ";" ";"2016";523;113370;...;0;0;...
" ";" ";" ";"2017";506;106283;...;0;0;...
" ";" ";"Sprememba namembnosti"
" ";" ";" ";"2008";125;32439;100702;0;0;0
" ";" ";" ";"2009";108;36067;106873;0;0;0
" ";" ";" ";"2010";95;29130;119158;0;0;0
" ";" ";" ";"2011";71;20773;69222;0;0;0
" ";" ";" ";"2012";61;18459;64838;0;0;0
" ";" ";" ";"2013";56;15206;56215;0;0;0
" ";" ";" ";"2014";59;15936;47843;0;0;0
" ";" ";" ";"2015";60;15858;...;0;0;...
" ";" ";" ";"2016";110;33419;...;0;0;...
" ";" ";" ";"2017";89;27026;...;0;0;...

"Od leta 2015 spremljamo tudi gradbena dovoljenja za nestanovanjske "
"stavbe, ki se uvršèajo med nezahtevne objekte. "
" "
"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=100-"
"40 target=_blank) Metodološka pojasnila "

