"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
"SLOVENIJA"
" ";"2002";3.6;114
" ";"2003";3.3;114
" ";"2004";3.5;109
" ";"2005";3.8;107
" ";"2006";3.8;114
" ";"2007";4.1;111
" ";"2008";4.9;110
" ";"2009";4.2;115
" ";"2010";3.1;129
" ";"2011";2.7;132
" ";"2012";2.1;138
" ";"2013";1.7;146
" ";"2014";1.5;145
" ";"2015";1.3;147
" ";"2016";1.4;151
" ";"2017";1.5;145
"Ajdovšèina"
" ";"2002";4.1;145
" ";"2003";5.6;110
" ";"2004";3.8;148
" ";"2005";2.1;147
" ";"2006";2.5;132
" ";"2007";4.0;111
" ";"2008";8.2;98
" ";"2009";7.1;110
" ";"2010";2.7;171
" ";"2011";2.2;207
" ";"2012";3.8;151
" ";"2013";1.7;154
" ";"2014";2.0;178
" ";"2015";2.4;157
" ";"2016";2.0;147
" ";"2017";2.0;159
"Ankaran/Ancarano"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";-;-
" ";"2008";-;-
" ";"2009";-;-
" ";"2010";-;-
" ";"2011";-;-
" ";"2012";-;-
" ";"2013";-;-
" ";"2014";-;-
" ";"2015";0.0;0
" ";"2016";0.9;222
" ";"2017";0.3;102
"Apaèe"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";1.1;143
" ";"2009";1.4;124
" ";"2010";3.3;186
" ";"2011";2.8;193
" ";"2012";4.7;176
" ";"2013";3.3;150
" ";"2014";2.5;151
" ";"2015";2.2;140
" ";"2016";4.5;119
" ";"2017";2.5;134
"Beltinci"
" ";"2002";4.1;109
" ";"2003";3.0;105
" ";"2004";2.9;130
" ";"2005";3.8;94
" ";"2006";2.5;140
" ";"2007";2.8;134
" ";"2008";4.4;147
" ";"2009";1.6;141
" ";"2010";1.8;143
" ";"2011";2.4;144
" ";"2012";1.7;145
" ";"2013";1.2;152
" ";"2014";1.9;130
" ";"2015";2.4;107
" ";"2016";1.5;108
" ";"2017";1.6;132
"Benedikt"
" ";"2002";14.9;112
" ";"2003";21.7;103
" ";"2004";13.8;94
" ";"2005";8.7;124
" ";"2006";5.4;197
" ";"2007";6.2;171
" ";"2008";18.3;84
" ";"2009";25.9;73
" ";"2010";4.6;148
" ";"2011";7.4;112
" ";"2012";8.6;89
" ";"2013";3.2;149
" ";"2014";4.5;146
" ";"2015";0.8;152
" ";"2016";6.8;149
" ";"2017";6.0;188
"Bistrica ob Sotli"
" ";"2002";5.4;104
" ";"2003";6.1;142
" ";"2004";4.8;87
" ";"2005";2.8;121
" ";"2006";3.5;68
" ";"2007";2.8;120
" ";"2008";9.1;61
" ";"2009";5.0;133
" ";"2010";1.4;117
" ";"2011";3.5;139
" ";"2012";2.8;111
" ";"2013";2.8;66
" ";"2014";3.6;149
" ";"2015";3.6;148
" ";"2016";2.2;167
" ";"2017";0.7;123
"Bled"
" ";"2002";3.4;99
" ";"2003";2.2;135
" ";"2004";3.1;137
" ";"2005";4.6;116
" ";"2006";2.2;185
" ";"2007";5.9;147
" ";"2008";5.5;196
" ";"2009";2.3;179
" ";"2010";3.0;148
" ";"2011";0.6;140
" ";"2012";1.1;171
" ";"2013";1.5;139
" ";"2014";1.2;182
" ";"2015";2.1;188
