Stanovanjske razmere po: STATISTIÈNA REGIJA, LETO , STANOVANJSKE RAZMERE;;;
;;;
Pomurska;;;
 ;2008;;
 ; ;Onesnaženost okolja;16
 ;2009;;
 ; ;Onesnaženost okolja;17
 ;2010;;
 ; ;Onesnaženost okolja;15
 ;2011;;
 ; ;Onesnaženost okolja;15
 ;2012;;
 ; ;Onesnaženost okolja;12
 ;2013;;
 ; ;Onesnaženost okolja;12
 ;2014;;
 ; ;Onesnaženost okolja;14
 ;2015;;
 ; ;Onesnaženost okolja;12
 ;2016;;
 ; ;Onesnaženost okolja;14
 ;2017;;
 ; ;Onesnaženost okolja;17
Podravska;;;
 ;2008;;
 ; ;Onesnaženost okolja;20
 ;2009;;
 ; ;Onesnaženost okolja;21
 ;2010;;
 ; ;Onesnaženost okolja;19
 ;2011;;
 ; ;Onesnaženost okolja;17
 ;2012;;
 ; ;Onesnaženost okolja;14
 ;2013;;
 ; ;Onesnaženost okolja;14
 ;2014;;
 ; ;Onesnaženost okolja;14
 ;2015;;
 ; ;Onesnaženost okolja;17
 ;2016;;
 ; ;Onesnaženost okolja;18
 ;2017;;
 ; ;Onesnaženost okolja;18
Koroška;;;
 ;2008;;
 ; ;Onesnaženost okolja;23
 ;2009;;
 ; ;Onesnaženost okolja;20
 ;2010;;
 ; ;Onesnaženost okolja;19
 ;2011;;
 ; ;Onesnaženost okolja;15
 ;2012;;
 ; ;Onesnaženost okolja;10
 ;2013;;
 ; ;Onesnaženost okolja;11
 ;2014;;
 ; ;Onesnaženost okolja;12
 ;2015;;
 ; ;Onesnaženost okolja;14
 ;2016;;
 ; ;Onesnaženost okolja;13
 ;2017;;
 ; ;Onesnaženost okolja;16
Savinjska;;;
 ;2008;;
 ; ;Onesnaženost okolja;23
 ;2009;;
 ; ;Onesnaženost okolja;22
 ;2010;;
 ; ;Onesnaženost okolja;20
 ;2011;;
 ; ;Onesnaženost okolja;21
 ;2012;;
 ; ;Onesnaženost okolja;18
 ;2013;;
 ; ;Onesnaženost okolja;21
 ;2014;;
 ; ;Onesnaženost okolja;17
 ;2015;;
 ; ;Onesnaženost okolja;21
 ;2016;;
 ; ;Onesnaženost okolja;17
 ;2017;;
 ; ;Onesnaženost okolja;19
Zasavska;;;
 ;2008;;
 ; ;Onesnaženost okolja;49
 ;2009;;
 ; ;Onesnaženost okolja;55
 ;2010;;
 ; ;Onesnaženost okolja;46
 ;2011;;
 ; ;Onesnaženost okolja;47
 ;2012;;
 ; ;Onesnaženost okolja;38
 ;2013;;
 ; ;Onesnaženost okolja;28
 ;2014;;
 ; ;Onesnaženost okolja;32
 ;2015;;
 ; ;Onesnaženost okolja;38
 ;2016;;
 ; ;Onesnaženost okolja;38
 ;2017;;
 ; ;Onesnaženost okolja;38
Posavska;;;
 ;2008;;
 ; ;Onesnaženost okolja;14
 ;2009;;
 ; ;Onesnaženost okolja;15
 ;2010;;
 ; ;Onesnaženost okolja;14
 ;2011;;
 ; ;Onesnaženost okolja;14
 ;2012;;
 ; ;Onesnaženost okolja;13
 ;2013;;
 ; ;Onesnaženost okolja;9
 ;2014;;
 ; ;Onesnaženost okolja;9
 ;2015;;
 ; ;Onesnaženost okolja;17
 ;2016;;
 ; ;Onesnaženost okolja;20
 ;2017;;
 ; ;Onesnaženost okolja;18
Jugovzhodna Slovenija;;;
 ;2008;;
 ; ;Onesnaženost okolja;12
 ;2009;;
 ; ;Onesnaženost okolja;17
 ;2010;;
 ; ;Onesnaženost okolja;14
 ;2011;;
 ; ;Onesnaženost okolja;14
 ;2012;;
 ; ;Onesnaženost okolja;16
 ;2013;;
 ; ;Onesnaženost okolja;17
 ;2014;;
 ; ;Onesnaženost okolja;15
 ;2015;;
 ; ;Onesnaženost okolja;12
 ;2016;;
 ; ;Onesnaženost okolja;13
 ;2017;;
 ; ;Onesnaženost okolja;15
Osrednjeslovenska;;;
 ;2008;;
 ; ;Onesnaženost okolja;27
 ;2009;;
 ; ;Onesnaženost okolja;26
 ;2010;;
 ; ;Onesnaženost okolja;25
 ;2011;;
 ; ;Onesnaženost okolja;26
 ;2012;;
 ; ;Onesnaženost okolja;21
 ;2013;;
 ; ;Onesnaženost okolja;18
 ;2014;;
 ; ;Onesnaženost okolja;19
 ;2015;;
 ; ;Onesnaženost okolja;18
 ;2016;;
 ; ;Onesnaženost okolja;17
 ;2017;;
 ; ;Onesnaženost okolja;18
Gorenjska;;;
 ;2008;;
 ; ;Onesnaženost okolja;14
 ;2009;;
 ; ;Onesnaženost okolja;13
 ;2010;;
 ; ;Onesnaženost okolja;12
 ;2011;;
 ; ;Onesnaženost okolja;16
 ;2012;;
 ; ;Onesnaženost okolja;11
 ;2013;;
 ; ;Onesnaženost okolja;12
 ;2014;;
 ; ;Onesnaženost okolja;11
 ;2015;;
 ; ;Onesnaženost okolja;12
 ;2016;;
 ; ;Onesnaženost okolja;13
 ;2017;;
 ; ;Onesnaženost okolja;13
Primorsko-notranjska;;;
 ;2008;;
 ; ;Onesnaženost okolja;11
 ;2009;;
 ; ;Onesnaženost okolja;17
 ;2010;;
 ; ;Onesnaženost okolja;24
 ;2011;;
 ; ;Onesnaženost okolja;15
 ;2012;;
 ; ;Onesnaženost okolja;12
 ;2013;;
 ; ;Onesnaženost okolja;12
 ;2014;;
 ; ;Onesnaženost okolja;17
 ;2015;;
 ; ;Onesnaženost okolja;12
 ;2016;;
 ; ;Onesnaženost okolja;12
 ;2017;;
 ; ;Onesnaženost okolja;16
Goriška;;;
 ;2008;;
 ; ;Onesnaženost okolja;15
 ;2009;;
 ; ;Onesnaženost okolja;15
 ;2010;;
 ; ;Onesnaženost okolja;13
 ;2011;;
 ; ;Onesnaženost okolja;12
 ;2012;;
 ; ;Onesnaženost okolja;12
 ;2013;;
 ; ;Onesnaženost okolja;12
 ;2014;;
 ; ;Onesnaženost okolja;12
 ;2015;;
 ; ;Onesnaženost okolja;11
 ;2016;;
 ; ;Onesnaženost okolja;12
 ;2017;;
 ; ;Onesnaženost okolja;14
;;;
Vir: Statistièni urad Republike Slovenije. ;;;
;;;
Povezane vsebine: ;;;
- (seznam ;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;
e=8291 target=_blank) Metodološka pojasnila ;;;
;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;
povezavi.;;;
;;;
Rezultati statistiènega raziskovanja SILC izhajajo iz ankete, ;;;
izvedene v zaèetku posameznega leta, in iz registrov ter ;;;
administrativnih virov, ki se veèinoma nanašajo na leto pred izvedbo ;;;
ankete.;;;
;;;
Zaradi zaokroževanja se vsote vèasih ne ujemajo.;;;
;;;
Delež gospodinjstev, ki imajo težave z onesnaženostjo okolja, ;;;
umazanijo ali drugimi okoljskimi problemi, ki jih povzroèata promet ;;;
in industrija.;;;
