Stanovanjske razmere po: STATISTIÈNA REGIJA, LETO , STANOVANJSKE RAZMERE;;;
;;;
Pomurska;;;
 ;2008;;
 ; ;Prisotnost kriminala;5
 ;2009;;
 ; ;Prisotnost kriminala;7
 ;2010;;
 ; ;Prisotnost kriminala;6
 ;2011;;
 ; ;Prisotnost kriminala;6
 ;2012;;
 ; ;Prisotnost kriminala;2
 ;2013;;
 ; ;Prisotnost kriminala;4
 ;2014;;
 ; ;Prisotnost kriminala;5
 ;2015;;
 ; ;Prisotnost kriminala;4
 ;2016;;
 ; ;Prisotnost kriminala;3
 ;2017;;
 ; ;Prisotnost kriminala;3
Podravska;;;
 ;2008;;
 ; ;Prisotnost kriminala;9
 ;2009;;
 ; ;Prisotnost kriminala;12
 ;2010;;
 ; ;Prisotnost kriminala;10
 ;2011;;
 ; ;Prisotnost kriminala;8
 ;2012;;
 ; ;Prisotnost kriminala;7
 ;2013;;
 ; ;Prisotnost kriminala;8
 ;2014;;
 ; ;Prisotnost kriminala;10
 ;2015;;
 ; ;Prisotnost kriminala;8
 ;2016;;
 ; ;Prisotnost kriminala;7
 ;2017;;
 ; ;Prisotnost kriminala;9
Koroška;;;
 ;2008;;
 ; ;Prisotnost kriminala;6
 ;2009;;
 ; ;Prisotnost kriminala;6
 ;2010;;
 ; ;Prisotnost kriminala;5
 ;2011;;
 ; ;Prisotnost kriminala;4
 ;2012;;
 ; ;Prisotnost kriminala;2
 ;2013;;
 ; ;Prisotnost kriminala;2
 ;2014;;
 ; ;Prisotnost kriminala;3
 ;2015;;
 ; ;Prisotnost kriminala;2
 ;2016;;
 ; ;Prisotnost kriminala;5
 ;2017;;
 ; ;Prisotnost kriminala;4
Savinjska;;;
 ;2008;;
 ; ;Prisotnost kriminala;8
 ;2009;;
 ; ;Prisotnost kriminala;13
 ;2010;;
 ; ;Prisotnost kriminala;7
 ;2011;;
 ; ;Prisotnost kriminala;7
 ;2012;;
 ; ;Prisotnost kriminala;5
 ;2013;;
 ; ;Prisotnost kriminala;7
 ;2014;;
 ; ;Prisotnost kriminala;9
 ;2015;;
 ; ;Prisotnost kriminala;9
 ;2016;;
 ; ;Prisotnost kriminala;8
 ;2017;;
 ; ;Prisotnost kriminala;6
Zasavska;;;
 ;2008;;
 ; ;Prisotnost kriminala;8
 ;2009;;
 ; ;Prisotnost kriminala;12
 ;2010;;
 ; ;Prisotnost kriminala;10
 ;2011;;
 ; ;Prisotnost kriminala;8
 ;2012;;
 ; ;Prisotnost kriminala;5
 ;2013;;
 ; ;Prisotnost kriminala;5
 ;2014;;
 ; ;Prisotnost kriminala;3
 ;2015;;
 ; ;Prisotnost kriminala;5
 ;2016;;
 ; ;Prisotnost kriminala;3
 ;2017;;
 ; ;Prisotnost kriminala;4
Posavska;;;
 ;2008;;
 ; ;Prisotnost kriminala;4
 ;2009;;
 ; ;Prisotnost kriminala;4
 ;2010;;
 ; ;Prisotnost kriminala;6
 ;2011;;
 ; ;Prisotnost kriminala;3
 ;2012;;
 ; ;Prisotnost kriminala;5
 ;2013;;
 ; ;Prisotnost kriminala;3
 ;2014;;
 ; ;Prisotnost kriminala;6
 ;2015;;
 ; ;Prisotnost kriminala;11
 ;2016;;
 ; ;Prisotnost kriminala;8
 ;2017;;
 ; ;Prisotnost kriminala;8
Jugovzhodna Slovenija;;;
 ;2008;;
 ; ;Prisotnost kriminala;5
 ;2009;;
 ; ;Prisotnost kriminala;8
 ;2010;;
 ; ;Prisotnost kriminala;8
 ;2011;;
 ; ;Prisotnost kriminala;9
 ;2012;;
 ; ;Prisotnost kriminala;8
 ;2013;;
 ; ;Prisotnost kriminala;10
 ;2014;;
 ; ;Prisotnost kriminala;12
 ;2015;;
 ; ;Prisotnost kriminala;12
 ;2016;;
 ; ;Prisotnost kriminala;13
 ;2017;;
 ; ;Prisotnost kriminala;10
Osrednjeslovenska;;;
 ;2008;;
 ; ;Prisotnost kriminala;16
 ;2009;;
 ; ;Prisotnost kriminala;22
 ;2010;;
 ; ;Prisotnost kriminala;18
 ;2011;;
 ; ;Prisotnost kriminala;16
 ;2012;;
 ; ;Prisotnost kriminala;15
 ;2013;;
 ; ;Prisotnost kriminala;16
 ;2014;;
 ; ;Prisotnost kriminala;17
 ;2015;;
 ; ;Prisotnost kriminala;15
 ;2016;;
 ; ;Prisotnost kriminala;13
 ;2017;;
 ; ;Prisotnost kriminala;12
Gorenjska;;;
 ;2008;;
 ; ;Prisotnost kriminala;7
 ;2009;;
 ; ;Prisotnost kriminala;9
 ;2010;;
 ; ;Prisotnost kriminala;7
 ;2011;;
 ; ;Prisotnost kriminala;5
 ;2012;;
 ; ;Prisotnost kriminala;6
 ;2013;;
 ; ;Prisotnost kriminala;8
 ;2014;;
 ; ;Prisotnost kriminala;8
 ;2015;;
 ; ;Prisotnost kriminala;7
 ;2016;;
 ; ;Prisotnost kriminala;8
 ;2017;;
 ; ;Prisotnost kriminala;6
Primorsko-notranjska;;;
 ;2008;;
 ; ;Prisotnost kriminala;3
 ;2009;;
 ; ;Prisotnost kriminala;10
 ;2010;;
 ; ;Prisotnost kriminala;5
 ;2011;;
 ; ;Prisotnost kriminala;8
 ;2012;;
 ; ;Prisotnost kriminala;4
 ;2013;;
 ; ;Prisotnost kriminala;7
 ;2014;;
 ; ;Prisotnost kriminala;8
 ;2015;;
 ; ;Prisotnost kriminala;5
 ;2016;;
 ; ;Prisotnost kriminala;4
 ;2017;;
 ; ;Prisotnost kriminala;5
Goriška;;;
 ;2008;;
 ; ;Prisotnost kriminala;4
 ;2009;;
 ; ;Prisotnost kriminala;6
 ;2010;;
 ; ;Prisotnost kriminala;6
 ;2011;;
 ; ;Prisotnost kriminala;6
 ;2012;;
 ; ;Prisotnost kriminala;7
 ;2013;;
 ; ;Prisotnost kriminala;5
 ;2014;;
 ; ;Prisotnost kriminala;7
 ;2015;;
 ; ;Prisotnost kriminala;6
 ;2016;;
 ; ;Prisotnost kriminala;6
 ;2017;;
 ; ;Prisotnost kriminala;4
;;;
Vir: Statistièni urad Republike Slovenije. ;;;
;;;
Povezane vsebine: ;;;
- (seznam ;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;
e=8291 target=_blank) Metodološka pojasnila ;;;
;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;
povezavi.;;;
;;;
Rezultati statistiènega raziskovanja SILC izhajajo iz ankete, ;;;
izvedene v zaèetku posameznega leta, in iz registrov ter ;;;
administrativnih virov, ki se veèinoma nanašajo na leto pred izvedbo ;;;
ankete.;;;
;;;
Zaradi zaokroževanja se vsote vèasih ne ujemajo.;;;
;;;
Delež gospodinjstev, ki imajo težave s kriminalom, z nasiljem ali ;;;
vandalizmom v okolišu, kjer bivajo.;;;
