Stanovanjski standard po: OBÈINE, STANOVANJSKI STANDARDI , LETO;;
;;
 ;Število stanovanj  na 1.000 prebivalcev; 
 ;2011;2015
SLOVENIJA;412.0;410.0
Ajdovšèina;383.7;380.0
Ankaran/Ancarano;-;580.0
Apaèe;400.1;396.0
Beltinci;339.3;341.0
Benedikt;402.9;399.0
Bistrica ob Sotli;449.2;449.0
Bled;449.2;442.0
Bloke;513.3;511.0
Bohinj;621.1;631.0
Borovnica;336.1;367.0
Bovec;826.8;832.0
Braslovèe;385.7;376.0
Brda;415.1;409.0
Brezovica;367.6;349.0
Brežice;441.4;432.0
Cankova;432.0;433.0
Celje;432.3;430.0
Cerklje na Gorenjskem;362.6;359.0
Cerknica;409.9;395.0
Cerkno;423.7;425.0
Cerkvenjak;404.4;412.0
Cirkulane;652.5;637.0
Èrenšovci;352.4;364.0
Èrna na Koroškem;407.9;426.0
Èrnomelj;398.1;405.0
Destrnik;399.3;407.0
Divaèa;497.8;486.0
Dobje;440.1;402.0
Dobrepolje;370.0;364.0
Dobrna;381.8;392.0
Dobrova - Polhov Gradec;353.3;345.0
Dobrovnik/Dobronak;450.9;458.0
Dol pri Ljubljani;382.9;363.0
Dolenjske Toplice;416.0;423.0
Domžale;360.6;353.0
Dornava;355.7;364.0
Dravograd;335.4;343.0
Duplek;375.7;374.0
Gorenja vas - Poljane;355.3;348.0
Gorišnica;335.0;345.0
Gorje;387.1;403.0
Gornja Radgona;413.8;417.0
Gornji Grad;367.0;369.0
Gornji Petrovci;522.6;535.0
Grad;409.8;414.0
Grosuplje;347.6;332.0
Hajdina;350.9;351.0
Hoèe - Slivnica;386.6;385.0
Hodoš/Hodos;449.4;373.0
Horjul;324.9;320.0
Hrastnik;420.8;446.0
Hrpelje - Kozina;539.1;518.0
Idrija;418.7;412.0
Ig;382.4;368.0
Ilirska Bistrica;464.8;450.0
Ivanèna Gorica;408.3;392.0
Izola/Isola;509.7;513.0
Jesenice;393.2;405.0
Jezersko;536.1;553.0
Juršinci;449.0;447.0
Kamnik;358.5;356.0
Kanal;468.2;478.0
Kidrièevo;363.0;370.0
Kobarid;493.2;500.0
Kobilje;388.3;406.0
Koèevje;372.7;385.0
Komen;524.6;504.0
Komenda;359.4;332.0
Koper/Capodistria;462.4;447.0
Kostanjevica na Krki;431.8;415.0
Kostel;915.5;952.0
Kozje;453.1;455.0
Kranj;377.0;373.0
Kranjska Gora;709.9;728.0
Križevci;342.5;338.0
Krško;406.7;400.0
Kungota;408.9;415.0
Kuzma;418.1;410.0
Laško;414.2;417.0
Lenart;375.8;387.0
Lendava/Lendva;437.1;456.0
Litija;398.7;392.0
Ljubljana;447.2;442.0
Ljubno;389.5;385.0
Ljutomer;418.5;420.0
Log - Dragomer;332.6;333.0
Logatec;354.1;343.0
Loška dolina;362.4;360.0
Loški Potok;450.6;461.0
Lovrenc na Pohorju;393.5;393.0
Luèe;395.3;400.0
Lukovica;340.8;324.0
Majšperk;449.2;461.0
Makole;465.5;465.0
Maribor;465.9;466.0
Markovci;331.2;334.0
Medvode;358.8;365.0
Mengeš;362.4;352.0
Metlika;400.4;401.0
Mežica;410.1;411.0
Miklavž na Dravskem polju;368.9;362.0
Miren - Kostanjevica;413.5;404.0
Mirna;-;467.0
Mirna Peè;404.3;388.0
Mislinja;368.4;368.0
Mokronog - Trebelno;484.3;457.0
Moravèe;358.4;342.0
Moravske Toplice;538.0;544.0
Mozirje;381.7;375.0
Murska Sobota;402.0;411.0
Muta;368.0;376.0
Naklo;306.6;305.0
Nazarje;370.6;363.0
Nova Gorica;416.4;418.0
Novo mesto;374.5;376.0
Odranci;295.3;304.0
Oplotnica;366.5;356.0
Ormož;409.8;415.0
Osilnica;636.8;650.0
Pesnica;374.4;374.0
Piran/Pirano;602.7;582.0
Pivka;459.1;440.0
Podèetrtek;529.6;571.0
Podlehnik;582.5;599.0
Podvelka;409.5;428.0
Poljèane;394.1;398.0
Polzela;361.4;357.0
Postojna;419.6;413.0
Prebold;412.3;403.0
Preddvor;363.3;365.0
Prevalje;362.5;367.0
Ptuj;411.5;422.0
Puconci;407.5;412.0
Raèe - Fram;400.4;392.0
Radeèe;426.5;434.0
Radenci;401.0;412.0
Radlje ob Dravi;341.9;349.0
Radovljica;376.3;382.0
Ravne na Koroškem;388.7;398.0
Razkrižje;362.9;366.0
Reèica ob Savinji;375.5;352.0
Renèe - Vogrsko;366.6;367.0
Ribnica;360.3;361.0
Ribnica na Pohorju;453.7;474.0
Rogaška Slatina;387.8;382.0
Rogašovci;401.0;393.0
Rogatec;358.9;360.0
Ruše;413.0;431.0
Selnica ob Dravi;367.5;371.0
Semiè;459.3;463.0
Sevnica;430.0;422.0
Sežana;453.5;446.0
Slovenj Gradec;356.1;357.0
Slovenska Bistrica;398.8;391.0
Slovenske Konjice;386.3;376.0
Sodražica;424.3;413.0
Solèava;477.8;468.0
Središèe ob Dravi;377.9;395.0
Starše;360.6;364.0
Straža;361.6;359.0
Sveta Ana;360.6;363.0
Sveta Trojica v Slov. goricah;370.1;381.0
Sveti Andraž v Slov. goricah;357.1;373.0
Sveti Jurij ob Šèavnici;435.4;431.0
Sveti Jurij v Slov. goricah;376.1;362.0
Sveti Tomaž;423.4;436.0
Šalovci;503.8;532.0
Šempeter - Vrtojba;400.6;395.0
Šenèur;321.8;318.0
Šentilj;371.6;380.0
Šentjernej;381.9;367.0
Šentjur;391.3;383.0
Šentrupert;404.2;386.0
Škocjan;432.4;420.0
Škofja Loka;359.7;356.0
Škofljica;401.2;370.0
Šmarje pri Jelšah;414.4;407.0
Šmarješke Toplice;489.6;468.0
Šmartno ob Paki;380.3;372.0
Šmartno pri Litiji;363.9;360.0
Šoštanj;350.7;345.0
Štore;378.0;379.0
Tabor;400.0;388.0
Tišina;328.7;332.0
Tolmin;460.2;466.0
Trbovlje;439.4;456.0
Trebnje;411.5;401.0
Trnovska vas;346.7;366.0
Trzin;378.0;369.0
Tržiè;382.3;389.0
Turnišèe;321.3;330.0
Velenje;359.4;370.0
Velika Polana;348.8;359.0
Velike Lašèe;447.7;443.0
Veržej;405.6;409.0
Videm;454.1;467.0
Vipava;422.5;396.0
Vitanje;392.7;381.0
Vodice;325.9;322.0
Vojnik;397.1;393.0
Vransko;370.9;365.0
Vrhnika;354.5;352.0
Vuzenica;349.6;353.0
Zagorje ob Savi;364.8;373.0
Zavrè;517.3;482.0
Zreèe;406.1;409.0
Žalec;395.7;392.0
Železniki;331.0;326.0
Žetale;424.6;421.0
Žiri;337.8;347.0
Žirovnica;371.5;355.0
Žužemberk;475.3;464.0
;;
Vir: Statistièni urad Republike Slovenije.;;
;;
Povezane vsebine: ;;
- (seznam ;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;
e=8224 target=_blank) Metodološka pojasnila ;;
;;
Podatki so teritorialno razvršèeni po uredbi o Standardni ;;
klasifikaciji teritorialnih enot [(seznam ;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;
ije/klasifikacije TARGET=_blank) opis in pojasnila], raven SKTE 5. ;;
Podatki o spremembah posameznih obèin so dostopni na (seznam ;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;
ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V ;;
Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je ;;
opisana vrsta spremembe, naveden je datum, s katerim je opisana ;;
teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot ;;
za statistiène namene ter naveden Uradni list, v katerem so bile ;;
objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno ;;
zadnje veljavno stanje imen obèin.;;
;;
Osnovni elementi infrastrukture: notranje stranišèe, kopalnica, voda ;;
in elektrika.;;
;;
Stanje na 1. 1.;;
;;
Podatke o stanovanjih za stanje 1. 1. 2011 smo v Sloveniji pripravili ;;
tudi v skladu z Uredbo [ES] št. 763/2008 Evropskega parlamenta in ;;
Sveta z dne 9. julija 2008 o popisih prebivalstva in stanovanj ;;
[Uradni list Evropske unije L 218/14, 13. avgust 2008].;;
