"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2010";2545280617;1670211485;27056700;341304379;258368080;248339973
" ";" ";"2011";2052524988;1135796109;24643479;283848557;376081099;232155743
" ";" ";"2012";1750537845;948162144;15392825;341769724;13920159;431292992
" ";" ";"2013";1680971255;796302754;17873485;361050134;16935997;488808886
" ";" ";"2014";1927094136;904208989;16732927;410657707;13890269;581604244
" ";" ";"2015";1880177750;835567431;22451892;424014952;6178164;591965311
" ";" ";"2016";1609072207;752175566;21858047;335908607;8426253;490703734
" ";" ";"2017";1989789321;1027998854;24984916;388683070;4486767;543635714
" ";"1 STAVBE"
" ";" ";"2010";1232334776;955576845;23772509;124053261;89350570;39581592
" ";" ";"2011";967660837;655260386;19882530;101113627;148896640;42507654
" ";" ";"2012";837371991;491767612;13542640;125365572;13920159;192776007
" ";" ";"2013";723654573;396576283;11699557;116985071;16935997;181457664
" ";" ";"2014";658285202;322586548;10544864;118436346;13890269;192827175
" ";" ";"2015";726589844;375925515;16338558;131201761;6178164;196945847
" ";" ";"2016";742275976;374683848;19437006;126927913;8426253;212800956
" ";" ";"2017";1001068043;573729272;19014082;144534813;4486767;259303108
" ";"11 STANOVANJSKE STAVBE"
" ";" ";"2010";263986222;215563174;670282;19500929;21629969;6621868
" ";" ";"2011";271156317;197270699;2722732;18479407;43043126;9640354
" ";" ";"2012";239933646;139167476;z;25038346;z;71326965
" ";" ";"2013";216293744;111260162;3184903;26062673;3418409;72367596
" ";" ";"2014";197378349;99028322;1108441;19549148;1454732;76237706
" ";" ";"2015";247970604;124222150;1722742;24047558;1058414;96919739
" ";" ";"2016";272270253;129399362;3313267;33697798;3675683;102184143
" ";" ";"2017";345900370;198762461;2756862;35664670;1467449;107248927
" ";"111 Enostanovanjske stavbe"
" ";" ";"2010";78496675;53882944;z;z;z;2462851
