Stanovanjske razmere, statistiène regije, Slovenija, letno;;;
;;;
STATISTIÈNA REGIJA;LETO;STANOVANJSKE RAZMERE;Stanovanjske razmere
Pomurska;2008;Prisotnost kriminala;5
Pomurska;2009;Prisotnost kriminala;7
Pomurska;2010;Prisotnost kriminala;6
Pomurska;2011;Prisotnost kriminala;6
Pomurska;2012;Prisotnost kriminala;2
Pomurska;2013;Prisotnost kriminala;4
Pomurska;2014;Prisotnost kriminala;5
Pomurska;2015;Prisotnost kriminala;4
Pomurska;2016;Prisotnost kriminala;3
Pomurska;2017;Prisotnost kriminala;3
Podravska;2008;Prisotnost kriminala;9
Podravska;2009;Prisotnost kriminala;12
Podravska;2010;Prisotnost kriminala;10
Podravska;2011;Prisotnost kriminala;8
Podravska;2012;Prisotnost kriminala;7
Podravska;2013;Prisotnost kriminala;8
Podravska;2014;Prisotnost kriminala;10
Podravska;2015;Prisotnost kriminala;8
Podravska;2016;Prisotnost kriminala;7
Podravska;2017;Prisotnost kriminala;9
Koroška;2008;Prisotnost kriminala;6
Koroška;2009;Prisotnost kriminala;6
Koroška;2010;Prisotnost kriminala;5
Koroška;2011;Prisotnost kriminala;4
Koroška;2012;Prisotnost kriminala;2
Koroška;2013;Prisotnost kriminala;2
Koroška;2014;Prisotnost kriminala;3
Koroška;2015;Prisotnost kriminala;2
Koroška;2016;Prisotnost kriminala;5
Koroška;2017;Prisotnost kriminala;4
Savinjska;2008;Prisotnost kriminala;8
Savinjska;2009;Prisotnost kriminala;13
Savinjska;2010;Prisotnost kriminala;7
Savinjska;2011;Prisotnost kriminala;7
Savinjska;2012;Prisotnost kriminala;5
Savinjska;2013;Prisotnost kriminala;7
Savinjska;2014;Prisotnost kriminala;9
Savinjska;2015;Prisotnost kriminala;9
Savinjska;2016;Prisotnost kriminala;8
Savinjska;2017;Prisotnost kriminala;6
Zasavska;2008;Prisotnost kriminala;8
Zasavska;2009;Prisotnost kriminala;12
Zasavska;2010;Prisotnost kriminala;10
Zasavska;2011;Prisotnost kriminala;8
Zasavska;2012;Prisotnost kriminala;5
Zasavska;2013;Prisotnost kriminala;5
Zasavska;2014;Prisotnost kriminala;3
Zasavska;2015;Prisotnost kriminala;5
Zasavska;2016;Prisotnost kriminala;3
Zasavska;2017;Prisotnost kriminala;4
Posavska;2008;Prisotnost kriminala;4
Posavska;2009;Prisotnost kriminala;4
Posavska;2010;Prisotnost kriminala;6
Posavska;2011;Prisotnost kriminala;3
Posavska;2012;Prisotnost kriminala;5
Posavska;2013;Prisotnost kriminala;3
Posavska;2014;Prisotnost kriminala;6
Posavska;2015;Prisotnost kriminala;11
Posavska;2016;Prisotnost kriminala;8
Posavska;2017;Prisotnost kriminala;8
Jugovzhodna Slovenija;2008;Prisotnost kriminala;5
Jugovzhodna Slovenija;2009;Prisotnost kriminala;8
Jugovzhodna Slovenija;2010;Prisotnost kriminala;8
Jugovzhodna Slovenija;2011;Prisotnost kriminala;9
Jugovzhodna Slovenija;2012;Prisotnost kriminala;8
Jugovzhodna Slovenija;2013;Prisotnost kriminala;10
Jugovzhodna Slovenija;2014;Prisotnost kriminala;12
Jugovzhodna Slovenija;2015;Prisotnost kriminala;12
Jugovzhodna Slovenija;2016;Prisotnost kriminala;13
Jugovzhodna Slovenija;2017;Prisotnost kriminala;10
Osrednjeslovenska;2008;Prisotnost kriminala;16
Osrednjeslovenska;2009;Prisotnost kriminala;22
Osrednjeslovenska;2010;Prisotnost kriminala;18
Osrednjeslovenska;2011;Prisotnost kriminala;16
Osrednjeslovenska;2012;Prisotnost kriminala;15
Osrednjeslovenska;2013;Prisotnost kriminala;16
Osrednjeslovenska;2014;Prisotnost kriminala;17
Osrednjeslovenska;2015;Prisotnost kriminala;15
Osrednjeslovenska;2016;Prisotnost kriminala;13
Osrednjeslovenska;2017;Prisotnost kriminala;12
Gorenjska;2008;Prisotnost kriminala;7
Gorenjska;2009;Prisotnost kriminala;9
Gorenjska;2010;Prisotnost kriminala;7
Gorenjska;2011;Prisotnost kriminala;5
Gorenjska;2012;Prisotnost kriminala;6
Gorenjska;2013;Prisotnost kriminala;8
Gorenjska;2014;Prisotnost kriminala;8
Gorenjska;2015;Prisotnost kriminala;7
Gorenjska;2016;Prisotnost kriminala;8
Gorenjska;2017;Prisotnost kriminala;6
Primorsko-notranjska;2008;Prisotnost kriminala;3
Primorsko-notranjska;2009;Prisotnost kriminala;10
Primorsko-notranjska;2010;Prisotnost kriminala;5
Primorsko-notranjska;2011;Prisotnost kriminala;8
Primorsko-notranjska;2012;Prisotnost kriminala;4
Primorsko-notranjska;2013;Prisotnost kriminala;7
Primorsko-notranjska;2014;Prisotnost kriminala;8
Primorsko-notranjska;2015;Prisotnost kriminala;5
Primorsko-notranjska;2016;Prisotnost kriminala;4
Primorsko-notranjska;2017;Prisotnost kriminala;5
Goriška;2008;Prisotnost kriminala;4
Goriška;2009;Prisotnost kriminala;6
Goriška;2010;Prisotnost kriminala;6
Goriška;2011;Prisotnost kriminala;6
Goriška;2012;Prisotnost kriminala;7
Goriška;2013;Prisotnost kriminala;5
Goriška;2014;Prisotnost kriminala;7
Goriška;2015;Prisotnost kriminala;6
Goriška;2016;Prisotnost kriminala;6
Goriška;2017;Prisotnost kriminala;4
Obalno-kraška;2008;Prisotnost kriminala;5
Obalno-kraška;2009;Prisotnost kriminala;7
Obalno-kraška;2010;Prisotnost kriminala;7
Obalno-kraška;2011;Prisotnost kriminala;5
Obalno-kraška;2012;Prisotnost kriminala;8
Obalno-kraška;2013;Prisotnost kriminala;6
Obalno-kraška;2014;Prisotnost kriminala;8
Obalno-kraška;2015;Prisotnost kriminala;8
Obalno-kraška;2016;Prisotnost kriminala;8
Obalno-kraška;2017;Prisotnost kriminala;9
