Stanovanjske razmere, statistiène regije, Slovenija, letno;;;
;;;
STATISTIÈNA REGIJA;LETO;STANOVANJSKE RAZMERE;Stanovanjske razmere
Pomurska;2008;Ni primernega ogrevanja;9
Pomurska;2009;Ni primernega ogrevanja;6
Pomurska;2010;Ni primernega ogrevanja;6
Pomurska;2011;Ni primernega ogrevanja;6
Pomurska;2012;Ni primernega ogrevanja;4
Pomurska;2013;Ni primernega ogrevanja;4
Pomurska;2014;Ni primernega ogrevanja;7
Pomurska;2015;Ni primernega ogrevanja;6
Pomurska;2016;Ni primernega ogrevanja;3
Pomurska;2017;Ni primernega ogrevanja;4
Podravska;2008;Ni primernega ogrevanja;9
Podravska;2009;Ni primernega ogrevanja;6
Podravska;2010;Ni primernega ogrevanja;6
Podravska;2011;Ni primernega ogrevanja;8
Podravska;2012;Ni primernega ogrevanja;9
Podravska;2013;Ni primernega ogrevanja;9
Podravska;2014;Ni primernega ogrevanja;9
Podravska;2015;Ni primernega ogrevanja;9
Podravska;2016;Ni primernega ogrevanja;8
Podravska;2017;Ni primernega ogrevanja;7
Koroška;2008;Ni primernega ogrevanja;7
Koroška;2009;Ni primernega ogrevanja;5
Koroška;2010;Ni primernega ogrevanja;5
Koroška;2011;Ni primernega ogrevanja;5
Koroška;2012;Ni primernega ogrevanja;5
Koroška;2013;Ni primernega ogrevanja;8
Koroška;2014;Ni primernega ogrevanja;7
Koroška;2015;Ni primernega ogrevanja;9
Koroška;2016;Ni primernega ogrevanja;8
Koroška;2017;Ni primernega ogrevanja;9
Savinjska;2008;Ni primernega ogrevanja;7
Savinjska;2009;Ni primernega ogrevanja;5
Savinjska;2010;Ni primernega ogrevanja;8
Savinjska;2011;Ni primernega ogrevanja;5
Savinjska;2012;Ni primernega ogrevanja;8
Savinjska;2013;Ni primernega ogrevanja;5
Savinjska;2014;Ni primernega ogrevanja;6
Savinjska;2015;Ni primernega ogrevanja;7
Savinjska;2016;Ni primernega ogrevanja;6
Savinjska;2017;Ni primernega ogrevanja;6
Zasavska;2008;Ni primernega ogrevanja;11
Zasavska;2009;Ni primernega ogrevanja;9
Zasavska;2010;Ni primernega ogrevanja;8
Zasavska;2011;Ni primernega ogrevanja;13
Zasavska;2012;Ni primernega ogrevanja;21
Zasavska;2013;Ni primernega ogrevanja;10
Zasavska;2014;Ni primernega ogrevanja;12
Zasavska;2015;Ni primernega ogrevanja;19
Zasavska;2016;Ni primernega ogrevanja;17
Zasavska;2017;Ni primernega ogrevanja;20
Posavska;2008;Ni primernega ogrevanja;8
Posavska;2009;Ni primernega ogrevanja;8
Posavska;2010;Ni primernega ogrevanja;7
Posavska;2011;Ni primernega ogrevanja;9
Posavska;2012;Ni primernega ogrevanja;7
Posavska;2013;Ni primernega ogrevanja;4
Posavska;2014;Ni primernega ogrevanja;4
Posavska;2015;Ni primernega ogrevanja;6
Posavska;2016;Ni primernega ogrevanja;7
Posavska;2017;Ni primernega ogrevanja;4
Jugovzhodna Slovenija;2008;Ni primernega ogrevanja;8
Jugovzhodna Slovenija;2009;Ni primernega ogrevanja;8
Jugovzhodna Slovenija;2010;Ni primernega ogrevanja;9
Jugovzhodna Slovenija;2011;Ni primernega ogrevanja;6
Jugovzhodna Slovenija;2012;Ni primernega ogrevanja;7
Jugovzhodna Slovenija;2013;Ni primernega ogrevanja;7
Jugovzhodna Slovenija;2014;Ni primernega ogrevanja;8
Jugovzhodna Slovenija;2015;Ni primernega ogrevanja;5
Jugovzhodna Slovenija;2016;Ni primernega ogrevanja;3
Jugovzhodna Slovenija;2017;Ni primernega ogrevanja;4
Osrednjeslovenska;2008;Ni primernega ogrevanja;4
Osrednjeslovenska;2009;Ni primernega ogrevanja;4
Osrednjeslovenska;2010;Ni primernega ogrevanja;5
Osrednjeslovenska;2011;Ni primernega ogrevanja;5
Osrednjeslovenska;2012;Ni primernega ogrevanja;6
Osrednjeslovenska;2013;Ni primernega ogrevanja;5
Osrednjeslovenska;2014;Ni primernega ogrevanja;6
Osrednjeslovenska;2015;Ni primernega ogrevanja;5
Osrednjeslovenska;2016;Ni primernega ogrevanja;5
Osrednjeslovenska;2017;Ni primernega ogrevanja;3
Gorenjska;2008;Ni primernega ogrevanja;3
Gorenjska;2009;Ni primernega ogrevanja;3
Gorenjska;2010;Ni primernega ogrevanja;5
Gorenjska;2011;Ni primernega ogrevanja;4
Gorenjska;2012;Ni primernega ogrevanja;7
Gorenjska;2013;Ni primernega ogrevanja;5
Gorenjska;2014;Ni primernega ogrevanja;5
Gorenjska;2015;Ni primernega ogrevanja;5
Gorenjska;2016;Ni primernega ogrevanja;6
