Stanovanjske razmere, statistiène regije, Slovenija, letno;;;
;;;
STATISTIÈNA REGIJA;LETO;STANOVANJSKE RAZMERE;Stanovanjske razmere
Pomurska;2008;Slabo stanje stanovanja;34
Pomurska;2009;Slabo stanje stanovanja;29
Pomurska;2010;Slabo stanje stanovanja;44
Pomurska;2011;Slabo stanje stanovanja;40
Pomurska;2012;Slabo stanje stanovanja;34
Pomurska;2013;Slabo stanje stanovanja;31
Pomurska;2014;Slabo stanje stanovanja;37
Pomurska;2015;Slabo stanje stanovanja;35
Pomurska;2016;Slabo stanje stanovanja;35
Pomurska;2017;Slabo stanje stanovanja;32
Podravska;2008;Slabo stanje stanovanja;30
Podravska;2009;Slabo stanje stanovanja;31
Podravska;2010;Slabo stanje stanovanja;34
Podravska;2011;Slabo stanje stanovanja;33
Podravska;2012;Slabo stanje stanovanja;30
Podravska;2013;Slabo stanje stanovanja;27
Podravska;2014;Slabo stanje stanovanja;30
Podravska;2015;Slabo stanje stanovanja;30
Podravska;2016;Slabo stanje stanovanja;26
Podravska;2017;Slabo stanje stanovanja;25
Koroška;2008;Slabo stanje stanovanja;31
Koroška;2009;Slabo stanje stanovanja;32
Koroška;2010;Slabo stanje stanovanja;32
Koroška;2011;Slabo stanje stanovanja;30
Koroška;2012;Slabo stanje stanovanja;30
Koroška;2013;Slabo stanje stanovanja;24
Koroška;2014;Slabo stanje stanovanja;22
Koroška;2015;Slabo stanje stanovanja;16
Koroška;2016;Slabo stanje stanovanja;17
Koroška;2017;Slabo stanje stanovanja;14
Savinjska;2008;Slabo stanje stanovanja;36
Savinjska;2009;Slabo stanje stanovanja;33
Savinjska;2010;Slabo stanje stanovanja;35
Savinjska;2011;Slabo stanje stanovanja;36
Savinjska;2012;Slabo stanje stanovanja;33
Savinjska;2013;Slabo stanje stanovanja;29
Savinjska;2014;Slabo stanje stanovanja;26
Savinjska;2015;Slabo stanje stanovanja;26
Savinjska;2016;Slabo stanje stanovanja;23
Savinjska;2017;Slabo stanje stanovanja;23
Zasavska;2008;Slabo stanje stanovanja;39
Zasavska;2009;Slabo stanje stanovanja;47
Zasavska;2010;Slabo stanje stanovanja;34
Zasavska;2011;Slabo stanje stanovanja;41
Zasavska;2012;Slabo stanje stanovanja;37
Zasavska;2013;Slabo stanje stanovanja;27
Zasavska;2014;Slabo stanje stanovanja;33
Zasavska;2015;Slabo stanje stanovanja;27
Zasavska;2016;Slabo stanje stanovanja;32
Zasavska;2017;Slabo stanje stanovanja;34
Posavska;2008;Slabo stanje stanovanja;29
Posavska;2009;Slabo stanje stanovanja;30
Posavska;2010;Slabo stanje stanovanja;26
Posavska;2011;Slabo stanje stanovanja;27
Posavska;2012;Slabo stanje stanovanja;27
Posavska;2013;Slabo stanje stanovanja;23
Posavska;2014;Slabo stanje stanovanja;23
Posavska;2015;Slabo stanje stanovanja;28
Posavska;2016;Slabo stanje stanovanja;28
Posavska;2017;Slabo stanje stanovanja;29
Jugovzhodna Slovenija;2008;Slabo stanje stanovanja;32
Jugovzhodna Slovenija;2009;Slabo stanje stanovanja;38
