Stanovanjske razmere, statistiène regije, Slovenija, letno;;;
;;;
STATISTIÈNA REGIJA;LETO;STANOVANJSKE RAZMERE;Stanovanjske razmere
Pomurska;2008;Premalo svetlobe;16
Pomurska;2009;Premalo svetlobe;12
Pomurska;2010;Premalo svetlobe;8
Pomurska;2011;Premalo svetlobe;8
Pomurska;2012;Premalo svetlobe;6
Pomurska;2013;Premalo svetlobe;5
Pomurska;2014;Premalo svetlobe;5
Pomurska;2015;Premalo svetlobe;4
Pomurska;2016;Premalo svetlobe;5
Pomurska;2017;Premalo svetlobe;5
Podravska;2008;Premalo svetlobe;13
Podravska;2009;Premalo svetlobe;15
Podravska;2010;Premalo svetlobe;8
Podravska;2011;Premalo svetlobe;11
Podravska;2012;Premalo svetlobe;7
Podravska;2013;Premalo svetlobe;5
Podravska;2014;Premalo svetlobe;5
Podravska;2015;Premalo svetlobe;5
Podravska;2016;Premalo svetlobe;5
Podravska;2017;Premalo svetlobe;4
Koroška;2008;Premalo svetlobe;18
Koroška;2009;Premalo svetlobe;12
Koroška;2010;Premalo svetlobe;10
Koroška;2011;Premalo svetlobe;11
Koroška;2012;Premalo svetlobe;12
Koroška;2013;Premalo svetlobe;4
Koroška;2014;Premalo svetlobe;4
Koroška;2015;Premalo svetlobe;4
Koroška;2016;Premalo svetlobe;3
Koroška;2017;Premalo svetlobe;4
Savinjska;2008;Premalo svetlobe;13
Savinjska;2009;Premalo svetlobe;13
Savinjska;2010;Premalo svetlobe;10
Savinjska;2011;Premalo svetlobe;14
Savinjska;2012;Premalo svetlobe;8
Savinjska;2013;Premalo svetlobe;9
Savinjska;2014;Premalo svetlobe;6
Savinjska;2015;Premalo svetlobe;4
Savinjska;2016;Premalo svetlobe;4
Savinjska;2017;Premalo svetlobe;3
Zasavska;2008;Premalo svetlobe;13
Zasavska;2009;Premalo svetlobe;14
Zasavska;2010;Premalo svetlobe;33
Zasavska;2011;Premalo svetlobe;10
Zasavska;2012;Premalo svetlobe;5
Zasavska;2013;Premalo svetlobe;7
Zasavska;2014;Premalo svetlobe;9
Zasavska;2015;Premalo svetlobe;10
Zasavska;2016;Premalo svetlobe;8
Zasavska;2017;Premalo svetlobe;4
Posavska;2008;Premalo svetlobe;17
Posavska;2009;Premalo svetlobe;25
Posavska;2010;Premalo svetlobe;7
Posavska;2011;Premalo svetlobe;5
Posavska;2012;Premalo svetlobe;8
Posavska;2013;Premalo svetlobe;6
Posavska;2014;Premalo svetlobe;6
Posavska;2015;Premalo svetlobe;5
Posavska;2016;Premalo svetlobe;7
Posavska;2017;Premalo svetlobe;4
Jugovzhodna Slovenija;2008;Premalo svetlobe;21
Jugovzhodna Slovenija;2009;Premalo svetlobe;16
Jugovzhodna Slovenija;2010;Premalo svetlobe;11
Jugovzhodna Slovenija;2011;Premalo svetlobe;10
Jugovzhodna Slovenija;2012;Premalo svetlobe;9
Jugovzhodna Slovenija;2013;Premalo svetlobe;7
Jugovzhodna Slovenija;2014;Premalo svetlobe;5
Jugovzhodna Slovenija;2015;Premalo svetlobe;7
Jugovzhodna Slovenija;2016;Premalo svetlobe;6
Jugovzhodna Slovenija;2017;Premalo svetlobe;4
Osrednjeslovenska;2008;Premalo svetlobe;8
Osrednjeslovenska;2009;Premalo svetlobe;16
Osrednjeslovenska;2010;Premalo svetlobe;15
Osrednjeslovenska;2011;Premalo svetlobe;15
Osrednjeslovenska;2012;Premalo svetlobe;11
Osrednjeslovenska;2013;Premalo svetlobe;7
Osrednjeslovenska;2014;Premalo svetlobe;6
Osrednjeslovenska;2015;Premalo svetlobe;7
Osrednjeslovenska;2016;Premalo svetlobe;5
Osrednjeslovenska;2017;Premalo svetlobe;6
Gorenjska;2008;Premalo svetlobe;12
Gorenjska;2009;Premalo svetlobe;20
Gorenjska;2010;Premalo svetlobe;10
Gorenjska;2011;Premalo svetlobe;16
Gorenjska;2012;Premalo svetlobe;13
Gorenjska;2013;Premalo svetlobe;7
Gorenjska;2014;Premalo svetlobe;5
Gorenjska;2015;Premalo svetlobe;7
Gorenjska;2016;Premalo svetlobe;4
Gorenjska;2017;Premalo svetlobe;5
Primorsko-notranjska;2008;Premalo svetlobe;7
Primorsko-notranjska;2009;Premalo svetlobe;19
Primorsko-notranjska;2010;Premalo svetlobe;13
Primorsko-notranjska;2011;Premalo svetlobe;14
Primorsko-notranjska;2012;Premalo svetlobe;10
Primorsko-notranjska;2013;Premalo svetlobe;6
Primorsko-notranjska;2014;Premalo svetlobe;7
Primorsko-notranjska;2015;Premalo svetlobe;4
Primorsko-notranjska;2016;Premalo svetlobe;3
Primorsko-notranjska;2017;Premalo svetlobe;7
Goriška;2008;Premalo svetlobe;9
Goriška;2009;Premalo svetlobe;15
Goriška;2010;Premalo svetlobe;6
Goriška;2011;Premalo svetlobe;7
Goriška;2012;Premalo svetlobe;8
Goriška;2013;Premalo svetlobe;7
Goriška;2014;Premalo svetlobe;6
Goriška;2015;Premalo svetlobe;6
Goriška;2016;Premalo svetlobe;5
Goriška;2017;Premalo svetlobe;8
Obalno-kraška;2008;Premalo svetlobe;12
Obalno-kraška;2009;Premalo svetlobe;21
Obalno-kraška;2010;Premalo svetlobe;11
Obalno-kraška;2011;Premalo svetlobe;17
Obalno-kraška;2012;Premalo svetlobe;10
Obalno-kraška;2013;Premalo svetlobe;12
Obalno-kraška;2014;Premalo svetlobe;13
Obalno-kraška;2015;Premalo svetlobe;13
Obalno-kraška;2016;Premalo svetlobe;10
Obalno-kraška;2017;Premalo svetlobe;9
