"";"Regija";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2.";"Delež.dokončanih.novogradenj....";"Delež.dokončanih.stanovanj...."
"1";"SLOVENIJA";2002;"3.jun";114;96,3;NA
"2";"SLOVENIJA";2003;"3.mar";114;93,5;NA
"3";"SLOVENIJA";2004;"3.maj";109;96;NA
"4";"SLOVENIJA";2005;"3.avg";107;95,4;NA
"5";"SLOVENIJA";2006;"3.avg";114;96;NA
"6";"SLOVENIJA";2007;"4.jan";111;95,7;NA
"7";"SLOVENIJA";2008;"4.sep";110;97,3;"42.1"
"8";"SLOVENIJA";2009;"4.feb";115;97,3;"43.3"
"9";"SLOVENIJA";2010;"3.jan";129;97,8;"39.7"
"10";"SLOVENIJA";2011;"2.jul";132;98,3;"40.8"
"11";"SLOVENIJA";2012;"2.jan";138;99;"38.9"
"12";"SLOVENIJA";2013;"1.jul";146;97,4;"35.2"
"13";"SLOVENIJA";2014;"1.maj";145;83,2;"34.5"
"14";"SLOVENIJA";2015;"1.mar";147;96,6;"31.6"
"15";"SLOVENIJA";2016;"1.apr";151;92,7;"44.9"
"16";"SLOVENIJA";2017;"1.maj";145;93,6;"62.3"
"17";"Pomurska";2002;"3.avg";121;99,6;NA
"18";"Pomurska";2003;"2.apr";137;96,6;NA
"19";"Pomurska";2004;"2.apr";140;95,7;NA
"20";"Pomurska";2005;"2.feb";123;97,7;NA
"21";"Pomurska";2006;"2.maj";128;98,7;NA
"22";"Pomurska";2007;"2.mar";128;97,2;NA
"23";"Pomurska";2008;"3.apr";163;99,3;"37.7"
"24";"Pomurska";2009;"2.jul";140;98,1;"33.5"
"25";"Pomurska";2010;"2.jul";137;98,7;"35.5"
"26";"Pomurska";2011;"2.mar";149;97;"35.4"
"27";"Pomurska";2012;"2.0";165;97;"36.5"
"28";"Pomurska";2013;"1.sep";151;98,7;"38.2"
"29";"Pomurska";2014;"1.avg";137;65,7;"39.4"
"30";"Pomurska";2015;"1.jun";115;95,7;"31.0"
"31";"Pomurska";2016;"2.jun";120;91,5;"58.2"
"32";"Pomurska";2017;"1.jul";126;86,7;"62.7"
"33";"Podravska";2002;"3.jun";120;97,8;NA
"34";"Podravska";2003;"4.mar";111;96,3;NA
"35";"Podravska";2004;"4.maj";108;98,7;NA
"36";"Podravska";2005;"5.0";104;95,2;NA
"37";"Podravska";2006;"4.mar";120;97,1;NA
"38";"Podravska";2007;"5.jan";114;98,5;NA
"39";"Podravska";2008;"6.mar";106;99,2;"44.5"
"40";"Podravska";2009;"4.maj";126;98,1;"42.5"
"41";"Podravska";2010;"2.avg";143;96,5;"34.1"
"42";"Podravska";2011;"3.0";142;98,8;"38.5"
"43";"Podravska";2012;"2.avg";126;99,7;"45.0"
"44";"Podravska";2013;"1.jul";141;98,7;"33.8"
"45";"Podravska";2014;"1.jun";138;77;"33.2"
"46";"Podravska";2015;"1.mar";148;97,7;"27.sep"
"47";"Podravska";2016;"1.jun";140;92,8;"42.5"
"48";"Podravska";2017;"1.jun";148;97,8;"59.1"
"49";"Koroška";2002;"3.sep";89;93,2;NA
"50";"Koroška";2003;"4.apr";87;82,6;NA
"51";"Koroška";2004;"3.avg";93;88,6;NA
"52";"Koroška";2005;"2.mar";119;99,4;NA
"53";"Koroška";2006;"3.jul";99;89,7;NA
"54";"Koroška";2007;"1.maj";110;92,7;NA
"55";"Koroška";2008;"2.0";130;92,6;"25.jan"
"56";"Koroška";2009;"4.mar";104;99,4;"50.3"
"57";"Koroška";2010;"2.sep";108;98,1;"51.9"
"58";"Koroška";2011;"1.feb";184;96,6;"30.sep"
"59";"Koroška";2012;"1.jan";168;98,8;"28.apr"
"60";"Koroška";2013;"1.apr";158;97,1;"32.3"
"61";"Koroška";2014;"1.jul";119;78,9;"38.8"
"62";"Koroška";2015;"1.jan";142;88,6;"29.jun"
"63";"Koroška";2016;"1.jan";159;98,7;"39.5"
"64";"Koroška";2017;"1.feb";148;98,8;"63.2"
"65";"Savinjska";2002;"3.jan";117;96,6;NA
"66";"Savinjska";2003;"2.apr";135;97,6;NA
"67";"Savinjska";2004;"2.apr";118;98,5;NA
"68";"Savinjska";2005;"2.apr";116;92,8;NA
"69";"Savinjska";2006;"2.jun";121;90,4;NA
"70";"Savinjska";2007;"3.feb";124;91,1;NA
"71";"Savinjska";2008;"2.sep";136;96,9;"31.6"
"72";"Savinjska";2009;"3.0";132;95,1;"30.apr"
"73";"Savinjska";2010;"3.avg";121;99,1;"39.4"
"74";"Savinjska";2011;"3.mar";122;97,3;"41.9"
"75";"Savinjska";2012;"2.mar";139;99;"33.4"
"76";"Savinjska";2013;"2.jun";128;98;"44.9"
"77";"Savinjska";2014;"1.apr";163;88,2;"31.6"
"78";"Savinjska";2015;"1.apr";141;95,4;"32.1"
"79";"Savinjska";2016;"1.mar";148;93,5;"41.9"
"80";"Savinjska";2017;"1.apr";139;90,2;"59.3"
"81";"Zasavska";2002;"1.maj";142;100;NA
"82";"Zasavska";2003;"1.sep";112;98,8;NA
"83";"Zasavska";2004;"1.jan";133;98;NA
"84";"Zasavska";2005;"3.mar";75;99,3;NA
"85";"Zasavska";2006;"1.maj";121;91,4;NA
"86";"Zasavska";2007;"0.9";141;73,8;NA
"87";"Zasavska";2008;"0.6";187;92,9;"22.0"
"88";"Zasavska";2009;"1.jan";170;97,9;"37.6"
"89";"Zasavska";2010;"0.7";166;100;"24.avg"
"90";"Zasavska";2011;"1.maj";125;100;"54.8"
"91";"Zasavska";2012;"0.5";171;100;"22.jan"
"92";"Zasavska";2013;"0.9";107;82,1;"37.9"
"93";"Zasavska";2014;"0.8";171;65,7;"38.0"
"94";"Zasavska";2015;"0.9";179;92,2;"28.0"
"95";"Zasavska";2016;"1.mar";149;100;"57.0"
"96";"Zasavska";2017;"1.0";143;89,1;"67.1"
"97";"Posavska";2002;"2.apr";114;97,1;NA
"98";"Posavska";2003;"2.maj";136;98,9;NA
"99";"Posavska";2004;"2.jan";133;96,5;NA
"100";"Posavska";2005;"2.0";139;96,5;NA
"101";"Posavska";2006;"2.avg";132;97,9;NA
"102";"Posavska";2007;"2.maj";126;93,8;NA
"103";"Posavska";2008;"3.jul";116;95,7;"40.1"
"104";"Posavska";2009;"2.0";145;95,8;"25.mar"
"105";"Posavska";2010;"2.jul";139;98,4;"34.8"
"106";"Posavska";2011;"2.mar";152;100;"36.1"
"107";"Posavska";2012;"1.avg";135;99,2;"35.0"
"108";"Posavska";2013;"1.jul";143;98,3;"35.1"
"109";"Posavska";2014;"1.apr";149;74,7;"28.sep"
"110";"Posavska";2015;"1.apr";131;95,1;"27.apr"
"111";"Posavska";2016;"1.jun";146;91,9;"40.3"
"112";"Posavska";2017;"2.0";135;93,3;"63.8"
"113";"Jugovzhodna Slovenija";2002;"2.sep";117;98;NA
"114";"Jugovzhodna Slovenija";2003;"2.feb";114;95,7;NA
"115";"Jugovzhodna Slovenija";2004;"3.feb";103;99,1;NA
"116";"Jugovzhodna Slovenija";2005;"2.jun";117;96,1;NA
"117";"Jugovzhodna Slovenija";2006;"3.avg";98;93,6;NA
"118";"Jugovzhodna Slovenija";2007;"4.mar";110;98,7;NA
"119";"Jugovzhodna Slovenija";2008;"4.mar";125;98,5;"47.7"
"120";"Jugovzhodna Slovenija";2009;"2.0";154;95,4;"30.0"
"121";"Jugovzhodna Slovenija";2010;"2.apr";129;95,4;"38.7"
"122";"Jugovzhodna Slovenija";2011;"1.avg";164;98;"30.jul"
"123";"Jugovzhodna Slovenija";2012;"1.avg";141;98,9;"31.6"
"124";"Jugovzhodna Slovenija";2013;"1.jun";166;96,9;"28.avg"
"125";"Jugovzhodna Slovenija";2014;"1.maj";161;82,9;"25.jun"
"126";"Jugovzhodna Slovenija";2015;"2.0";157;96,8;"31.2"
