"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"1";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2007;5858;3410786
"2";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2008;5373;2656335
"3";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2009;4570;2089907
"4";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2010;3902;1975066
"5";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2011;3621;1611219
"6";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2012;3205;1251166
"7";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2013;3443;1300463
"8";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2014;3166;1007637
"9";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2015;5054;1174829
"10";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2016;6809;1599641
"11";"Investitor - SKUPAJ";"SLOVENIJA";"Tip stavbe - SKUPAJ";2017;6704;1702054
"12";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2007;4537;1991922
"13";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2008;4185;1593478
"14";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2009;3534;1189559
"15";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2010;2870;1105243
"16";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2011;2629;772110
"17";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2012;2375;671523
"18";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2013;2549;708177
"19";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2014;2359;601839
"20";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2015;2441;616917
"21";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2016;2617;661373
"22";"Investitor - SKUPAJ";"SLOVENIJA";"Stanovanjske stavbe";2017;2713;699311
"23";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2007;1321;1418864
"24";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2008;1188;1062857
"25";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2009;1036;900348
"26";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2010;1032;869823
"27";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2011;992;839109
"28";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2012;830;579643
"29";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2013;894;592286
"30";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2014;807;405798
"31";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2015;2613;557912
"32";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2016;4192;938268
"33";"Investitor - SKUPAJ";"SLOVENIJA";"Nestanovanjske stavbe";2017;3991;1002743
"34";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2007;390;149269
"35";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2008;381;117612
"36";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2009;363;142369
"37";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2010;349;108583
"38";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2011;269;70741
"39";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2012;230;62159
"40";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2013;258;115672
"41";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2014;239;69706
"42";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2015;616;111508
"43";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2016;762;146499
"44";"Investitor - SKUPAJ";"Pomurska";"Tip stavbe - SKUPAJ";2017;804;140070
"45";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2007;269;72605
"46";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2008;265;68040
"47";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2009;252;60420
"48";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2010;243;52682
"49";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2011;186;42149
"50";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2012;146;32372
"51";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2013;184;41480
"52";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2014;174;34615
"53";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2015;203;47876
"54";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2016;216;47456
"55";"Investitor - SKUPAJ";"Pomurska";"Stanovanjske stavbe";2017;210;43828
"56";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2007;121;76664
"57";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2008;116;49572
"58";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2009;111;81949
"59";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2010;106;55901
"60";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2011;83;28592
"61";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2012;84;29787
"62";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2013;74;74192
"63";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2014;65;35091
"64";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2015;413;63632
"65";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2016;546;99043
"66";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2017;594;96242
"67";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2007;1081;560410
"68";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2008;1013;435642
"69";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2009;724;252361
"70";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2010;687;269957
"71";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2011;674;310127
