"";"Občine";"Leto";"Število.obsojenih.polnoletnih.in.mladoletnih.oseb"
"1";"SLOVENIJA";2006;"8630"
"2";"SLOVENIJA";2007;"9144"
"3";"SLOVENIJA";2008;"9228"
"4";"SLOVENIJA";2009;"8453"
"5";"SLOVENIJA";2010;"8423"
"6";"SLOVENIJA";2011;"7965"
"7";"SLOVENIJA";2012;"8825"
"8";"SLOVENIJA";2013;"11758"
"9";"SLOVENIJA";2014;"9729"
"10";"SLOVENIJA";2015;"8241"
"11";"SLOVENIJA";2016;"7006"
"12";"Ajdovščina";2016;NA
"13";"Ajdovščina";2006;"53"
"14";"Ajdovščina";2007;"42"
"15";"Ajdovščina";2008;"30"
"16";"Ajdovščina";2009;"27"
"17";"Ajdovščina";2010;"33"
"18";"Ajdovščina";2011;"26"
"19";"Ajdovščina";2012;"56"
"20";"Ajdovščina";2013;"34"
"21";"Ajdovščina";2014;"35"
"22";"Ajdovščina";2015;"30"
"23";"Ajdovščina";2016;"34"
"24";"Ankaran/Ancarano";2016;NA
"25";"Ankaran/Ancarano";2006;NA
"26";"Ankaran/Ancarano";2007;NA
"27";"Ankaran/Ancarano";2008;NA
"28";"Ankaran/Ancarano";2009;NA
"29";"Ankaran/Ancarano";2010;NA
"30";"Ankaran/Ancarano";2011;NA
"31";"Ankaran/Ancarano";2012;NA
"32";"Ankaran/Ancarano";2013;NA
"33";"Ankaran/Ancarano";2014;"z"
"34";"Ankaran/Ancarano";2015;"z"
"35";"Ankaran/Ancarano";2016;"4"
"36";"Apače";2016;NA
"37";"Apače";2006;"0"
"38";"Apače";2007;"12"
"39";"Apače";2008;"19"
"40";"Apače";2009;"23"
"41";"Apače";2010;"21"
"42";"Apače";2011;"19"
"43";"Apače";2012;"18"
"44";"Apače";2013;"19"
"45";"Apače";2014;"18"
"46";"Apače";2015;"20"
"47";"Apače";2016;"15"
"48";"Beltinci";2016;NA
"49";"Beltinci";2006;"44"
"50";"Beltinci";2007;"32"
"51";"Beltinci";2008;"35"
"52";"Beltinci";2009;"25"
"53";"Beltinci";2010;"25"
"54";"Beltinci";2011;"29"
"55";"Beltinci";2012;"50"
"56";"Beltinci";2013;"48"
"57";"Beltinci";2014;"49"
"58";"Beltinci";2015;"43"
"59";"Beltinci";2016;"26"
"60";"Benedikt";2016;NA
"61";"Benedikt";2006;"8"
"62";"Benedikt";2007;"5"
"63";"Benedikt";2008;"13"
"64";"Benedikt";2009;"15"
"65";"Benedikt";2010;"13"
"66";"Benedikt";2011;"13"
"67";"Benedikt";2012;"10"
"68";"Benedikt";2013;"19"
"69";"Benedikt";2014;"6"
"70";"Benedikt";2015;"7"
"71";"Benedikt";2016;"8"
"72";"Bistrica ob Sotli";2016;NA
"73";"Bistrica ob Sotli";2006;"4"
"74";"Bistrica ob Sotli";2007;"z"
"75";"Bistrica ob Sotli";2008;"3"
"76";"Bistrica ob Sotli";2009;"4"
"77";"Bistrica ob Sotli";2010;"z"
"78";"Bistrica ob Sotli";2011;"z"
"79";"Bistrica ob Sotli";2012;"z"
"80";"Bistrica ob Sotli";2013;"0"
"81";"Bistrica ob Sotli";2014;"6"
"82";"Bistrica ob Sotli";2015;"6"
"83";"Bistrica ob Sotli";2016;"z"
"84";"Bled";2016;NA
"85";"Bled";2006;"39"
"86";"Bled";2007;"31"
"87";"Bled";2008;"32"
"88";"Bled";2009;"26"
"89";"Bled";2010;"21"
"90";"Bled";2011;"24"
"91";"Bled";2012;"20"
"92";"Bled";2013;"33"
"93";"Bled";2014;"17"
"94";"Bled";2015;"22"
"95";"Bled";2016;"14"
"96";"Bloke";2016;NA
"97";"Bloke";2006;"z"
"98";"Bloke";2007;"3"
"99";"Bloke";2008;"0"
"100";"Bloke";2009;"z"
"101";"Bloke";2010;"4"
"102";"Bloke";2011;"z"
"103";"Bloke";2012;"z"
"104";"Bloke";2013;"z"
"105";"Bloke";2014;"5"
"106";"Bloke";2015;"z"
"107";"Bloke";2016;"6"
"108";"Bohinj";2016;NA
"109";"Bohinj";2006;"8"
"110";"Bohinj";2007;"13"
"111";"Bohinj";2008;"18"
"112";"Bohinj";2009;"19"
"113";"Bohinj";2010;"7"
"114";"Bohinj";2011;"7"
"115";"Bohinj";2012;"5"
"116";"Bohinj";2013;"5"
"117";"Bohinj";2014;"11"
"118";"Bohinj";2015;"11"
"119";"Bohinj";2016;"3"
"120";"Borovnica";2016;NA
"121";"Borovnica";2006;"13"
"122";"Borovnica";2007;"13"
"123";"Borovnica";2008;"6"
"124";"Borovnica";2009;"9"
"125";"Borovnica";2010;"5"
"126";"Borovnica";2011;"4"
"127";"Borovnica";2012;"4"
"128";"Borovnica";2013;"13"
"129";"Borovnica";2014;"8"
"130";"Borovnica";2015;"18"
"131";"Borovnica";2016;"11"
"132";"Bovec";2016;NA
"133";"Bovec";2006;"4"
"134";"Bovec";2007;"5"
"135";"Bovec";2008;"8"
"136";"Bovec";2009;"z"
"137";"Bovec";2010;"6"
"138";"Bovec";2011;"5"
"139";"Bovec";2012;"7"
"140";"Bovec";2013;"8"
"141";"Bovec";2014;"3"
"142";"Bovec";2015;"9"
"143";"Bovec";2016;"4"
"144";"Braslovče";2016;NA
"145";"Braslovče";2006;"5"
"146";"Braslovče";2007;"3"
"147";"Braslovče";2008;"6"
"148";"Braslovče";2009;"8"
"149";"Braslovče";2010;"7"
"150";"Braslovče";2011;"9"
"151";"Braslovče";2012;"10"
"152";"Braslovče";2013;"13"
"153";"Braslovče";2014;"16"
"154";"Braslovče";2015;"12"
"155";"Braslovče";2016;"10"
"156";"Brda";2016;NA
"157";"Brda";2006;"10"
"158";"Brda";2007;"19"
"159";"Brda";2008;"7"
"160";"Brda";2009;"8"
"161";"Brda";2010;"8"
"162";"Brda";2011;"9"
"163";"Brda";2012;"5"
"164";"Brda";2013;"13"
"165";"Brda";2014;"9"
"166";"Brda";2015;"11"
"167";"Brda";2016;"10"
"168";"Brezovica";2016;NA
"169";"Brezovica";2006;"5"
"170";"Brezovica";2007;"15"
"171";"Brezovica";2008;"11"
"172";"Brezovica";2009;"19"
"173";"Brezovica";2010;"14"
"174";"Brezovica";2011;"18"
"175";"Brezovica";2012;"26"
"176";"Brezovica";2013;"36"
"177";"Brezovica";2014;"27"
"178";"Brezovica";2015;"33"
"179";"Brezovica";2016;"11"
"180";"Brežice";2016;NA
"181";"Brežice";2006;"90"
"182";"Brežice";2007;"141"
"183";"Brežice";2008;"121"
"184";"Brežice";2009;"79"
"185";"Brežice";2010;"74"
"186";"Brežice";2011;"61"
"187";"Brežice";2012;"107"
"188";"Brežice";2013;"103"
"189";"Brežice";2014;"93"
"190";"Brežice";2015;"77"
"191";"Brežice";2016;"58"
"192";"Cankova";2016;NA
"193";"Cankova";2006;"z"
"194";"Cankova";2007;"4"
"195";"Cankova";2008;"4"
"196";"Cankova";2009;"z"
"197";"Cankova";2010;"9"
"198";"Cankova";2011;"5"
"199";"Cankova";2012;"0"
"200";"Cankova";2013;"5"
"201";"Cankova";2014;"7"
"202";"Cankova";2015;"3"
"203";"Cankova";2016;"9"
"204";"Celje";2016;NA
"205";"Celje";2006;"244"
"206";"Celje";2007;"291"
"207";"Celje";2008;"244"
"208";"Celje";2009;"239"
"209";"Celje";2010;"298"
"210";"Celje";2011;"211"
"211";"Celje";2012;"223"
"212";"Celje";2013;"357"
"213";"Celje";2014;"337"
"214";"Celje";2015;"231"
"215";"Celje";2016;"199"
"216";"Cerklje na Gorenjskem";2016;NA
"217";"Cerklje na Gorenjskem";2006;"8"
"218";"Cerklje na Gorenjskem";2007;"8"
"219";"Cerklje na Gorenjskem";2008;"8"
"220";"Cerklje na Gorenjskem";2009;"8"
"221";"Cerklje na Gorenjskem";2010;"10"
"222";"Cerklje na Gorenjskem";2011;"6"
"223";"Cerklje na Gorenjskem";2012;"12"
"224";"Cerklje na Gorenjskem";2013;"11"
"225";"Cerklje na Gorenjskem";2014;"15"
"226";"Cerklje na Gorenjskem";2015;"12"
"227";"Cerklje na Gorenjskem";2016;"13"
"228";"Cerknica";2016;NA
"229";"Cerknica";2006;"29"
"230";"Cerknica";2007;"34"
"231";"Cerknica";2008;"22"
"232";"Cerknica";2009;"29"
"233";"Cerknica";2010;"15"
"234";"Cerknica";2011;"21"
"235";"Cerknica";2012;"24"
"236";"Cerknica";2013;"42"
"237";"Cerknica";2014;"19"
"238";"Cerknica";2015;"31"
"239";"Cerknica";2016;"14"
"240";"Cerkno";2016;NA
"241";"Cerkno";2006;"z"
"242";"Cerkno";2007;"3"
"243";"Cerkno";2008;"5"
"244";"Cerkno";2009;"4"
"245";"Cerkno";2010;"6"
"246";"Cerkno";2011;"6"
"247";"Cerkno";2012;"4"
"248";"Cerkno";2013;"4"
"249";"Cerkno";2014;"8"
"250";"Cerkno";2015;"4"
"251";"Cerkno";2016;"5"
"252";"Cerkvenjak";2016;NA
"253";"Cerkvenjak";2006;"4"
"254";"Cerkvenjak";2007;"8"
"255";"Cerkvenjak";2008;"6"
"256";"Cerkvenjak";2009;"7"
"257";"Cerkvenjak";2010;"6"
"258";"Cerkvenjak";2011;"13"
"259";"Cerkvenjak";2012;"13"
"260";"Cerkvenjak";2013;"12"
"261";"Cerkvenjak";2014;"8"
"262";"Cerkvenjak";2015;"8"
"263";"Cerkvenjak";2016;"6"
"264";"Cirkulane";2016;NA
"265";"Cirkulane";2006;"0"
"266";"Cirkulane";2007;"10"
"267";"Cirkulane";2008;"9"
"268";"Cirkulane";2009;"9"
"269";"Cirkulane";2010;"9"
"270";"Cirkulane";2011;"7"
"271";"Cirkulane";2012;"5"
"272";"Cirkulane";2013;"6"
"273";"Cirkulane";2014;"7"
"274";"Cirkulane";2015;"z"
"275";"Cirkulane";2016;"5"
"276";"Črenšovci";2016;NA
"277";"Črenšovci";2006;"27"
"278";"Črenšovci";2007;"29"
"279";"Črenšovci";2008;"34"
"280";"Črenšovci";2009;"26"
"281";"Črenšovci";2010;"25"
"282";"Črenšovci";2011;"31"
"283";"Črenšovci";2012;"17"
"284";"Črenšovci";2013;"30"
"285";"Črenšovci";2014;"30"
"286";"Črenšovci";2015;"29"
"287";"Črenšovci";2016;"17"
"288";"Črna na Koroškem";2016;NA
"289";"Črna na Koroškem";2006;"15"
"290";"Črna na Koroškem";2007;"11"
"291";"Črna na Koroškem";2008;"8"
"292";"Črna na Koroškem";2009;"6"
"293";"Črna na Koroškem";2010;"18"
"294";"Črna na Koroškem";2011;"13"
"295";"Črna na Koroškem";2012;"12"
"296";"Črna na Koroškem";2013;"21"
"297";"Črna na Koroškem";2014;"13"
"298";"Črna na Koroškem";2015;"5"
"299";"Črna na Koroškem";2016;"6"
"300";"Črnomelj";2016;NA
"301";"Črnomelj";2006;"101"
"302";"Črnomelj";2007;"117"
"303";"Črnomelj";2008;"96"
"304";"Črnomelj";2009;"112"
"305";"Črnomelj";2010;"94"
"306";"Črnomelj";2011;"97"
"307";"Črnomelj";2012;"93"
"308";"Črnomelj";2013;"159"
"309";"Črnomelj";2014;"137"
"310";"Črnomelj";2015;"106"
"311";"Črnomelj";2016;"77"
"312";"Destrnik";2016;NA
"313";"Destrnik";2006;"10"
"314";"Destrnik";2007;"17"
"315";"Destrnik";2008;"13"
"316";"Destrnik";2009;"15"
"317";"Destrnik";2010;"8"
"318";"Destrnik";2011;"8"
"319";"Destrnik";2012;"16"
"320";"Destrnik";2013;"12"
"321";"Destrnik";2014;"10"
"322";"Destrnik";2015;"z"
"323";"Destrnik";2016;"9"
"324";"Divača";2016;NA
"325";"Divača";2006;"10"
"326";"Divača";2007;"6"
"327";"Divača";2008;"16"
"328";"Divača";2009;"9"
"329";"Divača";2010;"10"
"330";"Divača";2011;"3"
"331";"Divača";2012;"13"
"332";"Divača";2013;"14"
"333";"Divača";2014;"20"
"334";"Divača";2015;"14"
"335";"Divača";2016;"13"
"336";"Dobje";2016;NA
"337";"Dobje";2006;"0"
"338";"Dobje";2007;"0"
"339";"Dobje";2008;"0"
"340";"Dobje";2009;"0"
"341";"Dobje";2010;"z"
"342";"Dobje";2011;"z"
"343";"Dobje";2012;"z"
"344";"Dobje";2013;"3"
"345";"Dobje";2014;"z"
"346";"Dobje";2015;"4"
"347";"Dobje";2016;"0"
"348";"Dobrepolje";2016;NA
"349";"Dobrepolje";2006;"z"
"350";"Dobrepolje";2007;"7"
"351";"Dobrepolje";2008;"9"
"352";"Dobrepolje";2009;"12"
"353";"Dobrepolje";2010;"9"
"354";"Dobrepolje";2011;"z"
"355";"Dobrepolje";2012;"z"
"356";"Dobrepolje";2013;"13"
"357";"Dobrepolje";2014;"7"
"358";"Dobrepolje";2015;"8"
"359";"Dobrepolje";2016;"12"
"360";"Dobrna";2016;NA
"361";"Dobrna";2006;"z"
"362";"Dobrna";2007;"4"
"363";"Dobrna";2008;"z"
"364";"Dobrna";2009;"6"
"365";"Dobrna";2010;"10"
"366";"Dobrna";2011;"6"
"367";"Dobrna";2012;"4"
"368";"Dobrna";2013;"7"
"369";"Dobrna";2014;"5"
"370";"Dobrna";2015;"5"
"371";"Dobrna";2016;"7"
"372";"Dobrova - Polhov Gradec";2016;NA
"373";"Dobrova - Polhov Gradec";2006;"z"
"374";"Dobrova - Polhov Gradec";2007;"z"
"375";"Dobrova - Polhov Gradec";2008;"z"
"376";"Dobrova - Polhov Gradec";2009;"6"
"377";"Dobrova - Polhov Gradec";2010;"3"
"378";"Dobrova - Polhov Gradec";2011;"z"
"379";"Dobrova - Polhov Gradec";2012;"8"
"380";"Dobrova - Polhov Gradec";2013;"5"
"381";"Dobrova - Polhov Gradec";2014;"5"
"382";"Dobrova - Polhov Gradec";2015;"10"
"383";"Dobrova - Polhov Gradec";2016;"12"
"384";"Dobrovnik/Dobronak";2016;NA
"385";"Dobrovnik/Dobronak";2006;"5"
"386";"Dobrovnik/Dobronak";2007;"6"
"387";"Dobrovnik/Dobronak";2008;"7"
"388";"Dobrovnik/Dobronak";2009;"3"
"389";"Dobrovnik/Dobronak";2010;"10"
"390";"Dobrovnik/Dobronak";2011;"3"
"391";"Dobrovnik/Dobronak";2012;"3"
"392";"Dobrovnik/Dobronak";2013;"6"
"393";"Dobrovnik/Dobronak";2014;"6"
"394";"Dobrovnik/Dobronak";2015;"z"
"395";"Dobrovnik/Dobronak";2016;"z"
"396";"Dol pri Ljubljani";2016;NA
"397";"Dol pri Ljubljani";2006;"5"
"398";"Dol pri Ljubljani";2007;"10"
"399";"Dol pri Ljubljani";2008;"4"
"400";"Dol pri Ljubljani";2009;"6"
"401";"Dol pri Ljubljani";2010;"14"
"402";"Dol pri Ljubljani";2011;"5"
"403";"Dol pri Ljubljani";2012;"5"
"404";"Dol pri Ljubljani";2013;"12"
"405";"Dol pri Ljubljani";2014;"13"
"406";"Dol pri Ljubljani";2015;"20"
"407";"Dol pri Ljubljani";2016;"10"
"408";"Dolenjske Toplice";2016;NA
"409";"Dolenjske Toplice";2006;"7"
"410";"Dolenjske Toplice";2007;"9"
"411";"Dolenjske Toplice";2008;"12"
"412";"Dolenjske Toplice";2009;"13"
"413";"Dolenjske Toplice";2010;"15"
"414";"Dolenjske Toplice";2011;"8"
"415";"Dolenjske Toplice";2012;"13"
"416";"Dolenjske Toplice";2013;"13"
"417";"Dolenjske Toplice";2014;"9"
"418";"Dolenjske Toplice";2015;"10"
"419";"Dolenjske Toplice";2016;"11"
"420";"Domžale";2016;NA
"421";"Domžale";2006;"112"
"422";"Domžale";2007;"117"
"423";"Domžale";2008;"179"
"424";"Domžale";2009;"93"
"425";"Domžale";2010;"93"
"426";"Domžale";2011;"111"
"427";"Domžale";2012;"111"
"428";"Domžale";2013;"152"
"429";"Domžale";2014;"109"
"430";"Domžale";2015;"99"
"431";"Domžale";2016;"116"
"432";"Dornava";2016;NA
"433";"Dornava";2006;"6"
"434";"Dornava";2007;"8"
"435";"Dornava";2008;"14"
"436";"Dornava";2009;"11"
"437";"Dornava";2010;"10"
"438";"Dornava";2011;"11"
"439";"Dornava";2012;"4"
"440";"Dornava";2013;"17"
"441";"Dornava";2014;"3"
"442";"Dornava";2015;"7"
"443";"Dornava";2016;"12"
"444";"Dravograd";2016;NA
"445";"Dravograd";2006;"42"
"446";"Dravograd";2007;"30"
"447";"Dravograd";2008;"35"
"448";"Dravograd";2009;"49"
"449";"Dravograd";2010;"43"
"450";"Dravograd";2011;"29"
"451";"Dravograd";2012;"34"
"452";"Dravograd";2013;"43"
"453";"Dravograd";2014;"34"
"454";"Dravograd";2015;"23"
"455";"Dravograd";2016;"19"
"456";"Duplek";2016;NA
"457";"Duplek";2006;"17"
"458";"Duplek";2007;"23"
"459";"Duplek";2008;"36"
"460";"Duplek";2009;"30"
"461";"Duplek";2010;"31"
"462";"Duplek";2011;"29"
"463";"Duplek";2012;"28"
"464";"Duplek";2013;"46"
"465";"Duplek";2014;"27"
"466";"Duplek";2015;"33"
