"";"Občina";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2."
"1";"SLOVENIJA";2002;"3.6";114
"2";"SLOVENIJA";2003;"3.3";114
"3";"SLOVENIJA";2004;"3.5";109
"4";"SLOVENIJA";2005;"3.8";107
"5";"SLOVENIJA";2006;"3.8";114
"6";"SLOVENIJA";2007;"4.1";111
"7";"SLOVENIJA";2008;"4.9";110
"8";"SLOVENIJA";2009;"4.2";115
"9";"SLOVENIJA";2010;"3.1";129
"10";"SLOVENIJA";2011;"2.7";132
"11";"SLOVENIJA";2012;"2.1";138
"12";"SLOVENIJA";2013;"1.7";146
"13";"SLOVENIJA";2014;"1.5";145
"14";"SLOVENIJA";2015;"1.3";147
"15";"SLOVENIJA";2016;"1.4";151
"16";"SLOVENIJA";2017;"1.5";145
"17";"Ajdovščina";2017;NA;NA
"18";"Ajdovščina";2002;"4.1";145
"19";"Ajdovščina";2003;"5.6";110
"20";"Ajdovščina";2004;"3.8";148
"21";"Ajdovščina";2005;"2.1";147
"22";"Ajdovščina";2006;"2.5";132
"23";"Ajdovščina";2007;"4.0";111
"24";"Ajdovščina";2008;"8.2";98
"25";"Ajdovščina";2009;"7.1";110
"26";"Ajdovščina";2010;"2.7";171
"27";"Ajdovščina";2011;"2.2";207
"28";"Ajdovščina";2012;"3.8";151
"29";"Ajdovščina";2013;"1.7";154
"30";"Ajdovščina";2014;"2.0";178
"31";"Ajdovščina";2015;"2.4";157
"32";"Ajdovščina";2016;"2.0";147
"33";"Ajdovščina";2017;"2.0";159
"34";"Ankaran/Ancarano";2017;NA;NA
"35";"Ankaran/Ancarano";2002;NA;NA
"36";"Ankaran/Ancarano";2003;NA;NA
"37";"Ankaran/Ancarano";2004;NA;NA
"38";"Ankaran/Ancarano";2005;NA;NA
"39";"Ankaran/Ancarano";2006;NA;NA
"40";"Ankaran/Ancarano";2007;NA;NA
"41";"Ankaran/Ancarano";2008;NA;NA
"42";"Ankaran/Ancarano";2009;NA;NA
"43";"Ankaran/Ancarano";2010;NA;NA
"44";"Ankaran/Ancarano";2011;NA;NA
"45";"Ankaran/Ancarano";2012;NA;NA
"46";"Ankaran/Ancarano";2013;NA;NA
"47";"Ankaran/Ancarano";2014;NA;NA
"48";"Ankaran/Ancarano";2015;"0.0";0
"49";"Ankaran/Ancarano";2016;"0.9";222
"50";"Ankaran/Ancarano";2017;"0.3";102
"51";"Apače";2017;NA;NA
"52";"Apače";2002;NA;NA
"53";"Apače";2003;NA;NA
"54";"Apače";2004;NA;NA
"55";"Apače";2005;NA;NA
"56";"Apače";2006;NA;NA
"57";"Apače";2007;"0.0";0
"58";"Apače";2008;"1.1";143
"59";"Apače";2009;"1.4";124
"60";"Apače";2010;"3.3";186
"61";"Apače";2011;"2.8";193
"62";"Apače";2012;"4.7";176
"63";"Apače";2013;"3.3";150
"64";"Apače";2014;"2.5";151
"65";"Apače";2015;"2.2";140
"66";"Apače";2016;"4.5";119
"67";"Apače";2017;"2.5";134
"68";"Beltinci";2017;NA;NA
"69";"Beltinci";2002;"4.1";109
"70";"Beltinci";2003;"3.0";105
"71";"Beltinci";2004;"2.9";130
"72";"Beltinci";2005;"3.8";94
"73";"Beltinci";2006;"2.5";140
"74";"Beltinci";2007;"2.8";134
"75";"Beltinci";2008;"4.4";147
"76";"Beltinci";2009;"1.6";141
"77";"Beltinci";2010;"1.8";143
"78";"Beltinci";2011;"2.4";144
"79";"Beltinci";2012;"1.7";145
"80";"Beltinci";2013;"1.2";152
"81";"Beltinci";2014;"1.9";130
"82";"Beltinci";2015;"2.4";107
"83";"Beltinci";2016;"1.5";108
"84";"Beltinci";2017;"1.6";132
"85";"Benedikt";2017;NA;NA
"86";"Benedikt";2002;"14.9";112
"87";"Benedikt";2003;"21.7";103
"88";"Benedikt";2004;"13.8";94
"89";"Benedikt";2005;"8.7";124
"90";"Benedikt";2006;"5.4";197
"91";"Benedikt";2007;"6.2";171
"92";"Benedikt";2008;"18.3";84
"93";"Benedikt";2009;"25.9";73
"94";"Benedikt";2010;"4.6";148
"95";"Benedikt";2011;"7.4";112
"96";"Benedikt";2012;"8.6";89
"97";"Benedikt";2013;"3.2";149
"98";"Benedikt";2014;"4.5";146
"99";"Benedikt";2015;"0.8";152
"100";"Benedikt";2016;"6.8";149
"101";"Benedikt";2017;"6.0";188
"102";"Bistrica ob Sotli";2017;NA;NA
"103";"Bistrica ob Sotli";2002;"5.4";104
"104";"Bistrica ob Sotli";2003;"6.1";142
"105";"Bistrica ob Sotli";2004;"4.8";87
"106";"Bistrica ob Sotli";2005;"2.8";121
"107";"Bistrica ob Sotli";2006;"3.5";68
"108";"Bistrica ob Sotli";2007;"2.8";120
"109";"Bistrica ob Sotli";2008;"9.1";61
"110";"Bistrica ob Sotli";2009;"5.0";133
"111";"Bistrica ob Sotli";2010;"1.4";117
"112";"Bistrica ob Sotli";2011;"3.5";139
"113";"Bistrica ob Sotli";2012;"2.8";111
"114";"Bistrica ob Sotli";2013;"2.8";66
"115";"Bistrica ob Sotli";2014;"3.6";149
"116";"Bistrica ob Sotli";2015;"3.6";148
"117";"Bistrica ob Sotli";2016;"2.2";167
"118";"Bistrica ob Sotli";2017;"0.7";123
"119";"Bled";2017;NA;NA
"120";"Bled";2002;"3.4";99
"121";"Bled";2003;"2.2";135
"122";"Bled";2004;"3.1";137
"123";"Bled";2005;"4.6";116
"124";"Bled";2006;"2.2";185
"125";"Bled";2007;"5.9";147
"126";"Bled";2008;"5.5";196
"127";"Bled";2009;"2.3";179
"128";"Bled";2010;"3.0";148
"129";"Bled";2011;"0.6";140
"130";"Bled";2012;"1.1";171
"131";"Bled";2013;"1.5";139
"132";"Bled";2014;"1.2";182
"133";"Bled";2015;"2.1";188
"134";"Bled";2016;"2.1";213
"135";"Bled";2017;"12.0";89
"136";"Bloke";2017;NA;NA
"137";"Bloke";2002;"0.6";130
"138";"Bloke";2003;"1.2";117
"139";"Bloke";2004;"3.1";162
"140";"Bloke";2005;"0.6";114
"141";"Bloke";2006;"6.0";137
"142";"Bloke";2007;"3.6";163
"143";"Bloke";2008;"1.9";145
"144";"Bloke";2009;"7.7";157
"145";"Bloke";2010;"4.5";169
"146";"Bloke";2011;"3.8";144
"147";"Bloke";2012;"5.0";158
"148";"Bloke";2013;"3.8";156
"149";"Bloke";2014;"0.6";71
"150";"Bloke";2015;"1.3";178
"151";"Bloke";2016;"1.9";180
"152";"Bloke";2017;"1.3";89
"153";"Bohinj";2017;NA;NA
"154";"Bohinj";2002;"5.1";98
"155";"Bohinj";2003;"3.6";99
"156";"Bohinj";2004;"3.8";87
"157";"Bohinj";2005;"2.6";123
"158";"Bohinj";2006;"11.7";58
"159";"Bohinj";2007;"12.7";96
"160";"Bohinj";2008;"1.0";110
"161";"Bohinj";2009;"1.3";256
"162";"Bohinj";2010;"5.3";118
"163";"Bohinj";2011;"5.7";82
"164";"Bohinj";2012;"1.3";97
"165";"Bohinj";2013;"1.9";102
"166";"Bohinj";2014;"2.7";94
"167";"Bohinj";2015;"0.8";114
"168";"Bohinj";2016;"2.7";100
"169";"Bohinj";2017;"4.7";109
"170";"Borovnica";2017;NA;NA
"171";"Borovnica";2002;"2.4";105
"172";"Borovnica";2003;"3.4";102
"173";"Borovnica";2004;"2.6";86
"174";"Borovnica";2005;"3.7";110
"175";"Borovnica";2006;"3.1";96
"176";"Borovnica";2007;"0.5";134
"177";"Borovnica";2008;"8.7";74
"178";"Borovnica";2009;"1.8";152
"179";"Borovnica";2010;"51.7";80
"180";"Borovnica";2011;"1.8";201
"181";"Borovnica";2012;"2.5";185
"182";"Borovnica";2013;"0.5";243
"183";"Borovnica";2014;"2.6";204
"184";"Borovnica";2015;"1.9";191
"185";"Borovnica";2016;"2.1";146
"186";"Borovnica";2017;"1.8";140
"187";"Bovec";2017;NA;NA
"188";"Bovec";2002;"18.8";100
"189";"Bovec";2003;"11.4";111
"190";"Bovec";2004;"13.0";109
"191";"Bovec";2005;"1.2";141
"192";"Bovec";2006;"3.3";127
"193";"Bovec";2007;"9.0";76
"194";"Bovec";2008;"7.8";112
"195";"Bovec";2009;"2.2";113
"196";"Bovec";2010;"8.9";80
"197";"Bovec";2011;"1.2";133
"198";"Bovec";2012;"2.2";123
"199";"Bovec";2013;"2.5";136
"200";"Bovec";2014;"1.6";155
