"";"Leto";"Stanovanja.v.gradnji...SKUPAJ";"Stanovanja.v.gradnji...z.začetkom.gradnje.v.letu";"Stanovanja.v.gradnji.ob.koncu.leta";"Dokončana.stanovanja...SKUPAJ....................................................";"Dokončana.stanovanja...investitor.pravna.oseba";"Dokončana.stanovanja...investitor.fizična.oseba";"Dokončana.stanovanja.na.1000.prebivalcev"
"1";2008;23650;7447;13682;9968;5845;4123;4,9
"2";2009;19701;6019;11171;8530;4400;4130;4,2
"3";2010;16002;4831;9647;6355;2499;3856;3,1
"4";2011;13491;3844;7993;5498;2028;3470;2,7
"5";2012;11059;3066;6752;4307;1298;3009;2,1
"6";2013;9894;3142;6410;3484;828;2656;1,7
"7";2014;9172;2762;6009;3163;607;2556;1,5
"8";2015;8789;2749;6013;2776;354;2422;1,3
"9";2016;9176;3163;6201;2975;356;2619;1,4
"10";2017;9432;3231;6388;3044;645;2399;1,5
