"";"Občina";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017"
"1";"SLOVENIJA";735,73;773,42;834,5;899,8;930;966,62;987,39;991,44;997,01;1005,41;1013,23;1030,16;1062
"2";"Ajdovščina";695,29;731,76;803,17;861,14;875,66;917,59;953,7;922,82;927,51;934,23;941,89;964,5;987,79
"3";"Ankaran";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;946,57;992,7;1031,9
"4";"Apače";650,85;680,35;747,81;829,8;863,03;883,93;870,53;852,28;871,73;859,97;871,31;918,21;935,39
"5";"Beltinci";617,37;661,14;707,74;724,17;753,86;775,85;808,39;814,99;815,16;830,84;849,22;859,58;886,47
"6";"Benedikt";688,86;730,72;817,51;836,36;852,68;903,57;918,12;917,47;905,37;925,57;911,88;939,26;950,53
"7";"Bistrica ob Sotli";634,89;679,4;785,46;842,48;881,26;908,28;888,27;900,91;918,69;910,77;917,68;908,67;954,98
"8";"Bled";688,76;727,13;791,68;889,74;899,51;925,35;949,81;950,62;961,79;974,93;940,96;963,03;1009,22
"9";"Bloke";692,95;732,48;765,78;817,01;764,04;763,88;740,13;777,41;800,06;776,24;783,15;829,21;881,85
"10";"Bohinj";580,67;624,89;672,96;727,87;734,25;758,08;786,03;786,86;804,38;812,21;798,95;828,48;865,32
"11";"Borovnica";661,44;735,66;748,78;778,49;749,44;809,6;838,54;894,98;894,02;866,22;893,07;932,89;975,54
"12";"Bovec";628,66;670,72;724,52;772,68;780,04;823,11;877,79;872,98;935,95;930,76;935,07;947,71;967,27
"13";"Braslovče";614,36;691,78;724,93;804,96;838,64;852,41;882,6;868,33;864,52;885,92;899,37;922,49;975,76
"14";"Brda";703,85;743,43;816,25;884,21;900,65;891,94;954,89;922,07;945,65;965,47;927,81;944,88;989,64
"15";"Brezovica";616,01;658,79;731,18;782,18;814,13;866,96;889,3;897,6;894,7;875,28;874,78;888,87;938,63
"16";"Brežice";664,84;701,55;756,91;819,61;861,18;887,33;912,24;906,13;904,73;916,54;926,7;948,78;972,63
"17";"Cankova";651,96;710,43;797,66;882,35;921,55;975,49;912,9;899,16;917,21;929,21;924,47;895,36;901,84
