"";"Investitor";"Vrsta.objekta";"Leto";"Tip.gradbene.aktivnosti...SKUPAJ";"Novogradnja";"Povečava";"Rekonstrukcija.in.sprememba.namembnosti";"Investicijska.vzdrževalna.dela";"Redna.vzdrževalna.dela"
"1";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2010;"2545280617";"1670211485";"27056700";"341304379";"258368080";"248339973"
"2";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2011;"2052524988";"1135796109";"24643479";"283848557";"376081099";"232155743"
"3";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2012;"1750537845";"948162144";"15392825";"341769724";"13920159";"431292992"
"4";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2013;"1680971255";"796302754";"17873485";"361050134";"16935997";"488808886"
"5";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2014;"1927094136";"904208989";"16732927";"410657707";"13890269";"581604244"
"6";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2015;"1880177750";"835567431";"22451892";"424014952";"6178164";"591965311"
"7";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2016;"1609072207";"752175566";"21858047";"335908607";"8426253";"490703734"
"8";"Investitor - SKUPAJ";"CC_SI - SKUPAJ";2017;"1989789321";"1027998854";"24984916";"388683070";"4486767";"543635714"
"9";"Investitor - SKUPAJ";"1 STAVBE";2010;"1232334776";"955576845";"23772509";"124053261";"89350570";"39581592"
"10";"Investitor - SKUPAJ";"1 STAVBE";2011;"967660837";"655260386";"19882530";"101113627";"148896640";"42507654"
"11";"Investitor - SKUPAJ";"1 STAVBE";2012;"837371991";"491767612";"13542640";"125365572";"13920159";"192776007"
"12";"Investitor - SKUPAJ";"1 STAVBE";2013;"723654573";"396576283";"11699557";"116985071";"16935997";"181457664"
"13";"Investitor - SKUPAJ";"1 STAVBE";2014;"658285202";"322586548";"10544864";"118436346";"13890269";"192827175"
"14";"Investitor - SKUPAJ";"1 STAVBE";2015;"726589844";"375925515";"16338558";"131201761";"6178164";"196945847"
"15";"Investitor - SKUPAJ";"1 STAVBE";2016;"742275976";"374683848";"19437006";"126927913";"8426253";"212800956"
"16";"Investitor - SKUPAJ";"1 STAVBE";2017;"1001068043";"573729272";"19014082";"144534813";"4486767";"259303108"
"17";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2010;"263986222";"215563174";"670282";"19500929";"21629969";"6621868"
"18";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2011;"271156317";"197270699";"2722732";"18479407";"43043126";"9640354"
"19";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2012;"239933646";"139167476";"z";"25038346";"z";"71326965"
"20";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2013;"216293744";"111260162";"3184903";"26062673";"3418409";"72367596"
"21";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2014;"197378349";"99028322";"1108441";"19549148";"1454732";"76237706"
"22";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2015;"247970604";"124222150";"1722742";"24047558";"1058414";"96919739"
"23";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2016;"272270253";"129399362";"3313267";"33697798";"3675683";"102184143"
"24";"Investitor - SKUPAJ";"11 STANOVANJSKE STAVBE";2017;"345900370";"198762461";"2756862";"35664670";"1467449";"107248927"
"25";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2010;"78496675";"53882944";"z";"z";"z";"2462851"
"26";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2011;"104816537";"64877473";"z";"11038408";"20640446";"z"
"27";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2012;"120279607";"66093157";"z";"13847878";"z";"38168669"
"28";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2013;"113011603";"61621794";"z";"10754226";"z";"35968069"
"29";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2014;"118363663";"65263512";"z";"11389870";"z";"40207039"
"30";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2015;"128711474";"63691573";"1529102";"13749724";"462867";"49278209"
"31";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2016;"146944983";"84629589";"2759779";"16464968";"608881";"42481766"
"32";"Investitor - SKUPAJ";"111 Enostanovanjske stavbe";2017;"180570404";"108231382";"2359206";"17435752";"578070";"51965994"
"33";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2010;"78496675";"53882944";"z";"z";"z";"2462851"
"34";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2011;"104816537";"64877473";"z";"11038408";"20640446";"z"
"35";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2012;"120279607";"66093157";"z";"13847878";"z";"38168669"
"36";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2013;"113011603";"61621794";"z";"10754226";"z";"35968069"
"37";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2014;"118363663";"65263512";"z";"11389870";"z";"40207039"
"38";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2015;"128711474";"63691573";"1529102";"13749724";"462867";"49278209"
"39";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2016;"146944983";"84629589";"2759779";"16464968";"608881";"42481766"
"40";"Investitor - SKUPAJ";"1110 Enostanovanjske stavbe";2017;"180570404";"108231382";"2359206";"17435752";"578070";"51965994"
"41";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2010;"152330967";"132563655";"z";"z";"8933594";"4126835"
"42";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2011;"140127128";"109769294";"z";"6264971";"20052489";"z"
"43";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2012;"88125138";"54406284";"z";"5476396";"z";"27508797"
"44";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2013;"85270637";"45200073";"z";"7176471";"z";"32180246"
"45";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2014;"65073216";"24855481";"z";"z";"954857";"32841750"
"46";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2015;"99608161";"49239310";"z";"7325462";"z";"42293757"
"47";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2016;"109791207";"38693324";"z";"15859855";"z";"52460954"
"48";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2017;"141496540";"74058323";"z";"z";"889379";"51350441"
"49";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2010;"10040829";"6955229";"z";"z";"2490615";"48995"
"50";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2011;"10172045";"5592116";"z";"757247";"3030327";"z"
"51";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2012;"5962832";"3956735";"z";"630477";"z";"1248741"
"52";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2013;"7886151";"4237401";"z";"z";"z";"3160467"
"53";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2014;"6412065";"2917106";"z";"z";"z";"2242119"
"54";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2015;"7277126";"3599967";"68539";"446045";"52461";"3110115"
"55";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2016;"10607411";"4691286";"117243";"858878";NA;"4940004"
